sep=,
#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"ARR_DATA(I)","Integral(5.44040184,5.39316392)","","Integral(5.26046627,5.21905797)","","Integral(4.67084105,4.62131936)","","Integral(4.01091143,3.98242444)","",
229,20732.00000000,36.06457314,0.00000000,1.80040093,0.00000000,0.36727254,0.00000000,6.40371302,0.00000000,
230,20824.00000000,38.97365192,0.00000000,1.78634423,0.00000000,0.36620052,0.00000000,6.23014615,0.00000000,
231,20913.00000000,38.94140188,0.00000000,1.80139711,0.00000000,0.37324199,0.00000000,6.11155832,0.00000000,
232,21006.00000000,38.83263761,0.00000000,1.82152416,0.00000000,0.37477091,0.00000000,5.94566551,0.00000000,
233,21096.00000000,37.54132223,0.00000000,1.80157445,0.00000000,0.38117099,0.00000000,5.71000427,0.00000000,
234,21187.00000000,37.42964584,0.00000000,1.80723540,0.00000000,0.38208117,0.00000000,6.25950657,0.00000000,
235,21277.00000000,38.64178376,0.00000000,1.81221394,0.00000000,0.36605105,0.00000000,5.92566286,0.00000000,
236,21367.00000000,37.29614332,0.00000000,1.78713676,0.00000000,0.37002102,0.00000000,5.40643099,0.00000000,
237,21455.00000000,38.62128408,0.00000000,1.82722472,0.00000000,0.38131192,0.00000000,5.63644245,0.00000000,
238,21547.00000000,38.46233182,0.00000000,1.76950535,0.00000000,0.38677156,0.00000000,5.73720901,0.00000000,
239,21619.00000000,35.74062897,0.00000000,1.82607955,0.00000000,0.39160915,0.00000000,5.74845335,0.00000000,
240,21718.00000000,38.32321871,0.00000000,1.75020910,0.00000000,0.38755748,0.00000000,5.55421744,0.00000000,
241,21810.00000000,38.34431019,0.00000000,1.84570818,0.00000000,0.38850075,0.00000000,5.64211923,0.00000000,
242,21902.00000000,38.29387693,0.00000000,1.85002680,0.00000000,0.39209434,0.00000000,6.91261816,0.00000000,
243,21996.00000000,35.59648831,0.00000000,1.83850071,0.00000000,0.37738469,0.00000000,5.15439440,0.00000000,
244,22088.00000000,35.56954455,0.00000000,1.87005332,0.00000000,0.39758883,0.00000000,6.51752456,0.00000000,
245,22177.00000000,38.23700705,0.00000000,1.86581363,0.00000000,0.39652434,0.00000000,6.28952169,0.00000000,
246,22267.00000000,38.16277200,0.00000000,1.86299916,0.00000000,0.39669953,0.00000000,5.75683983,0.00000000,
247,22357.00000000,38.11378346,0.00000000,1.86966282,0.00000000,0.39731286,0.00000000,6.38618572,0.00000000,
248,22448.00000000,38.06124538,0.00000000,1.88531756,0.00000000,0.39889237,0.00000000,5.66899511,0.00000000,
249,22538.00000000,37.99453533,0.00000000,1.86477576,0.00000000,0.39198425,0.00000000,6.58745600,0.00000000,
250,22630.00000000,35.25523710,0.00000000,1.82407099,0.00000000,0.38854253,0.00000000,6.18448004,0.00000000,
251,22720.00000000,36.59152271,0.00000000,1.95804954,0.00000000,0.40311629,0.00000000,6.41871209,0.00000000,
252,22810.00000000,37.87172022,0.00000000,1.95176288,0.00000000,0.40412644,0.00000000,5.61640134,0.00000000,
253,22900.00000000,35.12259869,0.00000000,1.87824254,0.00000000,0.41003087,0.00000000,5.95575948,0.00000000,
254,22992.00000000,37.63931136,0.00000000,1.90198162,0.00000000,0.40807647,0.00000000,5.53047884,0.00000000,
255,23085.00000000,36.32704762,0.00000000,1.97815163,0.00000000,0.40819696,0.00000000,6.27131736,0.00000000,
256,23174.00000000,37.59828076,0.00000000,1.93051274,0.00000000,0.42781851,0.00000000,6.32332222,0.00000000,
257,23266.00000000,37.66518907,0.00000000,1.90483099,0.00000000,0.41646157,0.00000000,6.43241724,0.00000000,
258,23358.00000000,37.47167417,0.00000000,1.91892439,0.00000000,0.43104807,0.00000000,6.88749579,0.00000000,
259,23448.00000000,37.46076343,0.00000000,1.94411261,0.00000000,0.41509676,0.00000000,7.17635681,0.00000000,
260,23540.00000000,34.86733390,0.00000000,1.94822656,0.00000000,0.42326568,0.00000000,6.44684589,0.00000000,
261,23632.00000000,37.40360999,0.00000000,1.94150569,0.00000000,0.42009896,0.00000000,6.02455314,0.00000000,
262,23724.00000000,34.72021128,0.00000000,1.99202271,0.00000000,0.41527857,0.00000000,7.36733860,0.00000000,
263,23813.00000000,34.48792051,0.00000000,1.94943023,0.00000000,0.43177065,0.00000000,6.57902205,0.00000000,
264,23905.00000000,35.95351361,0.00000000,1.96613027,0.00000000,0.42670065,0.00000000,6.61852975,0.00000000,
265,23995.00000000,34.64874309,0.00000000,1.97835730,0.00000000,0.44424053,0.00000000,6.91363135,0.00000000,
266,24087.00000000,34.36659071,0.00000000,1.89787115,0.00000000,0.42958929,0.00000000,7.06264520,0.00000000,
267,24176.00000000,34.57141122,0.00000000,1.99039801,0.00000000,0.44222722,0.00000000,6.52130520,0.00000000,
268,24266.00000000,37.09724569,0.00000000,1.97527894,0.00000000,0.43108833,0.00000000,5.44688603,0.00000000,
269,24357.00000000,37.08984365,0.00000000,1.91804180,0.00000000,0.42503959,0.00000000,6.74711990,0.00000000,
270,24449.00000000,35.65164544,0.00000000,1.99348922,0.00000000,0.42599763,0.00000000,7.11500181,0.00000000,
271,24542.00000000,34.10272449,0.00000000,1.99807757,0.00000000,0.43608397,0.00000000,6.77918255,0.00000000,
272,24631.00000000,35.52777147,0.00000000,2.01056901,0.00000000,0.43691376,0.00000000,6.98580351,0.00000000,
273,24723.00000000,36.82570921,0.00000000,1.94460389,0.00000000,0.44047116,0.00000000,6.60260822,0.00000000,
274,24815.00000000,33.98985544,0.00000000,2.01067559,0.00000000,0.45444277,0.00000000,6.36043715,0.00000000,
275,24905.00000000,36.72732534,0.00000000,2.09700541,0.00000000,0.44438884,0.00000000,7.09766923,0.00000000,
276,24993.00000000,36.70571843,0.00000000,2.08300070,0.00000000,0.44214126,0.00000000,6.03396227,0.00000000,
277,25083.00000000,32.63600115,0.00000000,2.02605663,0.00000000,0.45356357,0.00000000,6.50325726,0.00000000,
278,25172.00000000,36.58085795,0.00000000,2.03793873,0.00000000,0.45129985,0.00000000,6.62274398,0.00000000,
279,25264.00000000,36.51962769,0.00000000,2.13077824,0.00000000,0.45075978,0.00000000,7.57943375,0.00000000,
280,25354.00000000,33.97365471,0.00000000,2.08178790,0.00000000,0.46206035,0.00000000,6.80524457,0.00000000,
281,25443.00000000,36.38335781,0.00000000,2.04015730,0.00000000,0.46671905,0.00000000,7.46014878,0.00000000,
282,25535.00000000,35.07003614,0.00000000,2.04551787,0.00000000,0.47956792,0.00000000,7.42511126,0.00000000,
283,25627.00000000,36.37564561,0.00000000,2.04670617,0.00000000,0.44909850,0.00000000,7.49502692,0.00000000,
284,25720.00000000,36.16404239,0.00000000,2.02019983,0.00000000,0.45513010,0.00000000,6.44363490,0.00000000,
285,25809.00000000,36.15810199,0.00000000,2.03892621,0.00000000,0.45569536,0.00000000,7.49253012,0.00000000,
286,25898.00000000,32.21932939,0.00000000,2.07592677,0.00000000,0.47848658,0.00000000,6.14434122,0.00000000,
287,25989.00000000,33.42943839,0.00000000,2.08803075,0.00000000,0.47519524,0.00000000,8.27289319,0.00000000,
288,26080.00000000,36.15493195,0.00000000,2.07050910,0.00000000,0.45841102,0.00000000,7.49144641,0.00000000,
289,26169.00000000,33.62310526,0.00000000,2.19534767,0.00000000,0.48278891,0.00000000,7.53490746,0.00000000,
290,26261.00000000,35.98029032,0.00000000,2.09487809,0.00000000,0.48272899,0.00000000,7.98084025,0.00000000,
291,26350.00000000,34.69577102,0.00000000,2.08804023,0.00000000,0.48453302,0.00000000,6.51203299,0.00000000,
292,26441.00000000,35.87586810,0.00000000,2.02063781,0.00000000,0.46589272,0.00000000,7.56864877,0.00000000,
293,26530.00000000,34.59807487,0.00000000,2.16613430,0.00000000,0.47952171,0.00000000,5.29466816,0.00000000,
294,26619.00000000,35.82680858,0.00000000,2.09917719,0.00000000,0.48716618,0.00000000,7.20887618,0.00000000,
295,26710.00000000,35.89074564,0.00000000,2.11938826,0.00000000,0.48885988,0.00000000,7.97908732,0.00000000,
296,26802.00000000,33.25504141,0.00000000,2.11843449,0.00000000,0.48843553,0.00000000,6.46274669,0.00000000,
297,26893.00000000,35.72857701,0.00000000,2.19098432,0.00000000,0.50357005,0.00000000,6.35268217,0.00000000,
298,26986.00000000,35.62860684,0.00000000,2.12482989,0.00000000,0.49280548,0.00000000,8.04011671,0.00000000,
299,27077.00000000,35.54368164,0.00000000,2.12824256,0.00000000,0.50651087,0.00000000,6.92014742,0.00000000,
300,27170.00000000,35.49685752,0.00000000,2.19491341,0.00000000,0.47954509,0.00000000,5.60530599,0.00000000,
301,27260.00000000,31.85225246,0.00000000,2.11245477,0.00000000,0.49900424,0.00000000,7.03908375,0.00000000,
302,27349.00000000,35.35818718,0.00000000,2.06704722,0.00000000,0.49951329,0.00000000,6.49202314,0.00000000,
303,27441.00000000,35.23203636,0.00000000,2.15869325,0.00000000,0.50413203,0.00000000,6.03925267,0.00000000,
304,27532.00000000,35.27368616,0.00000000,2.22930168,0.00000000,0.50210427,0.00000000,7.36781774,0.00000000,
305,27622.00000000,35.24686471,0.00000000,2.15684935,0.00000000,0.48358164,0.00000000,6.30768122,0.00000000,
306,27714.00000000,35.20551801,0.00000000,2.17624167,0.00000000,0.51687085,0.00000000,6.74661435,0.00000000,
307,27806.00000000,35.20526279,0.00000000,2.06893005,0.00000000,0.50821414,0.00000000,5.42585056,0.00000000,
308,27903.00000000,34.96139674,0.00000000,2.15854476,0.00000000,0.50286636,0.00000000,6.34894819,0.00000000,
309,27995.00000000,35.13101370,0.00000000,2.18533675,0.00000000,0.49570892,0.00000000,7.46771000,0.00000000,
310,28083.00000000,35.07707481,0.00000000,2.19152922,0.00000000,0.48987552,0.00000000,6.28764366,0.00000000,
311,28173.00000000,34.94655100,0.00000000,2.21562259,0.00000000,0.51126873,0.00000000,6.34342214,0.00000000,
312,28266.00000000,32.37552607,0.00000000,2.11349815,0.00000000,0.49498842,0.00000000,5.97332250,0.00000000,
313,28358.00000000,33.69459170,0.00000000,2.12019208,0.00000000,0.49977555,0.00000000,6.28440832,0.00000000,
314,28447.00000000,34.77867600,0.00000000,2.29385686,0.00000000,0.52922058,0.00000000,6.27589478,0.00000000,
315,28539.00000000,33.44327079,0.00000000,2.19320910,0.00000000,0.51953651,0.00000000,5.86283676,0.00000000,
316,28631.00000000,34.65455492,0.00000000,2.29260689,0.00000000,0.53292865,0.00000000,5.57042579,0.00000000,
317,28720.00000000,34.67031215,0.00000000,2.28653219,0.00000000,0.53331710,0.00000000,7.09415781,0.00000000,
318,28815.00000000,34.55585696,0.00000000,2.29074498,0.00000000,0.52202074,0.00000000,5.42563628,0.00000000,
319,28908.00000000,34.62437163,0.00000000,2.31538632,0.00000000,0.52383206,0.00000000,6.64821640,0.00000000,
320,28999.00000000,34.56201604,0.00000000,2.22104509,0.00000000,0.52816069,0.00000000,5.44997218,0.00000000,
321,29089.00000000,34.52302100,0.00000000,2.29596751,0.00000000,0.53946517,0.00000000,7.12315546,0.00000000,
322,29181.00000000,33.19275412,0.00000000,2.31619056,0.00000000,0.54455066,0.00000000,6.97811379,0.00000000,
323,29273.00000000,34.37075000,0.00000000,2.32760400,0.00000000,0.54185002,0.00000000,5.84012020,0.00000000,
324,29370.00000000,33.02256563,0.00000000,2.31943128,0.00000000,0.52341153,0.00000000,5.57313652,0.00000000,
325,29461.00000000,34.34067441,0.00000000,2.22982395,0.00000000,0.51452503,0.00000000,5.24069195,0.00000000,
326,29549.00000000,31.97103371,0.00000000,2.25545456,0.00000000,0.51535112,0.00000000,6.55601084,0.00000000,
327,29638.00000000,34.19540543,0.00000000,2.19288104,0.00000000,0.53595200,0.00000000,6.52098645,0.00000000,
328,29732.00000000,32.84496855,0.00000000,2.27434097,0.00000000,0.53137713,0.00000000,7.13035665,0.00000000,
329,29823.00000000,34.15574702,0.00000000,2.19245634,0.00000000,0.53517587,0.00000000,6.68094805,0.00000000,
330,29915.00000000,34.09621364,0.00000000,2.19281787,0.00000000,0.53992935,0.00000000,5.11622328,0.00000000,
331,30006.00000000,34.09198742,0.00000000,2.28732310,0.00000000,0.52605990,0.00000000,5.56271583,0.00000000,
332,30097.00000000,31.53994278,0.00000000,2.28221107,0.00000000,0.54437497,0.00000000,6.14345953,0.00000000,
333,30189.00000000,33.96060535,0.00000000,2.20588963,0.00000000,0.54362924,0.00000000,6.34475132,0.00000000,
334,30280.00000000,33.83449092,0.00000000,2.26640194,0.00000000,0.56395201,0.00000000,7.05788161,0.00000000,
335,30372.00000000,31.35754637,0.00000000,2.37685605,0.00000000,0.54943150,0.00000000,6.47712003,0.00000000,
336,30462.00000000,32.49038088,0.00000000,2.29306911,0.00000000,0.54810473,0.00000000,5.64994070,0.00000000,
337,30554.00000000,31.27810232,0.00000000,2.40395182,0.00000000,0.53187075,0.00000000,7.00387394,0.00000000,
338,30644.00000000,31.50056432,0.00000000,2.39438905,0.00000000,0.52803326,0.00000000,6.36017909,0.00000000,
339,30736.00000000,31.39666851,0.00000000,2.32700637,0.00000000,0.53477071,0.00000000,5.31396059,0.00000000,
340,30827.00000000,31.36650915,0.00000000,2.34602611,0.00000000,0.53599209,0.00000000,6.54104689,0.00000000,
341,30917.00000000,28.95386901,0.00000000,2.41524681,0.00000000,0.53769574,0.00000000,8.01179532,0.00000000,
342,31009.00000000,33.47932956,0.00000000,2.33948272,0.00000000,0.55319332,0.00000000,6.26170621,0.00000000,
343,31101.00000000,31.19679483,0.00000000,2.41419759,0.00000000,0.53888953,0.00000000,6.48224736,0.00000000,
344,31193.00000000,30.94057082,0.00000000,2.41430352,0.00000000,0.55979670,0.00000000,6.47274520,0.00000000,
345,31291.00000000,28.85551668,0.00000000,2.41955145,0.00000000,0.53435262,0.00000000,7.27783024,0.00000000,
346,31383.00000000,33.28222293,0.00000000,2.35801665,0.00000000,0.56024200,0.00000000,6.42415307,0.00000000,
347,31474.00000000,32.02616656,0.00000000,2.27138837,0.00000000,0.57888055,0.00000000,5.18635620,0.00000000,
348,31563.00000000,31.15758227,0.00000000,2.44810998,0.00000000,0.54555630,0.00000000,5.20393869,0.00000000,
349,31655.00000000,32.06124711,0.00000000,2.28308660,0.00000000,0.58373319,0.00000000,6.10843782,0.00000000,
350,31745.00000000,31.88430195,0.00000000,2.28810300,0.00000000,0.57054225,0.00000000,6.51005636,0.00000000,
351,31835.00000000,31.87644406,0.00000000,2.25646482,0.00000000,0.56994969,0.00000000,6.18328410,0.00000000,
352,31928.00000000,31.81013198,0.00000000,2.29333466,0.00000000,0.57064749,0.00000000,6.21168032,0.00000000,
353,32018.00000000,30.83501711,0.00000000,2.47673675,0.00000000,0.57261224,0.00000000,7.49212563,0.00000000,
354,32108.00000000,33.00382437,0.00000000,2.30412059,0.00000000,0.55618440,0.00000000,7.29115705,0.00000000,
355,32198.00000000,30.56785230,0.00000000,2.31218800,0.00000000,0.59012190,0.00000000,5.63599800,0.00000000,
356,32287.00000000,30.76882611,0.00000000,2.49481313,0.00000000,0.58128704,0.00000000,6.02414924,0.00000000,
357,32378.00000000,31.55192270,0.00000000,2.29985752,0.00000000,0.57908895,0.00000000,7.54936879,0.00000000,
358,32470.00000000,30.65688802,0.00000000,2.32100070,0.00000000,0.59228465,0.00000000,7.58636621,0.00000000,
359,32562.00000000,30.54871625,0.00000000,2.49417373,0.00000000,0.57592715,0.00000000,6.27701418,0.00000000,
360,32654.00000000,30.34120588,0.00000000,2.33420628,0.00000000,0.59372438,0.00000000,7.59104837,0.00000000,
361,32746.00000000,32.70274299,0.00000000,2.49958988,0.00000000,0.56524102,0.00000000,6.57198469,0.00000000,
362,32839.00000000,30.30450243,0.00000000,2.33298236,0.00000000,0.60120277,0.00000000,7.21169250,0.00000000,
363,32931.00000000,30.25623383,0.00000000,2.33230605,0.00000000,0.60106272,0.00000000,5.58594570,0.00000000,
364,33020.00000000,30.45832355,0.00000000,2.35548028,0.00000000,0.56553596,0.00000000,6.01361986,0.00000000,
365,33109.00000000,32.46808825,0.00000000,2.42104024,0.00000000,0.59269564,0.00000000,8.52267252,0.00000000,
366,33197.00000000,32.26303476,0.00000000,2.35480071,0.00000000,0.58664872,0.00000000,6.30352461,0.00000000,
367,33290.00000000,32.35066122,0.00000000,2.45532590,0.00000000,0.59483021,0.00000000,6.39054714,0.00000000,
368,33383.00000000,31.05302674,0.00000000,2.57723084,0.00000000,0.59197140,0.00000000,6.55651469,0.00000000,
369,33480.00000000,30.92220389,0.00000000,2.43114217,0.00000000,0.59107862,0.00000000,6.30727513,0.00000000,
370,33572.00000000,30.97399454,0.00000000,2.54851817,0.00000000,0.59449805,0.00000000,7.75121672,0.00000000,
371,33661.00000000,30.12315003,0.00000000,2.38165110,0.00000000,0.61421815,0.00000000,6.68542254,0.00000000,
372,33753.00000000,30.03768811,0.00000000,2.39190592,0.00000000,0.61074682,0.00000000,6.99376096,0.00000000,
373,33843.00000000,29.83549912,0.00000000,2.38405822,0.00000000,0.60942636,0.00000000,7.61199125,0.00000000,
374,33934.00000000,32.05394527,0.00000000,2.61154331,0.00000000,0.60269208,0.00000000,6.27540008,0.00000000,
375,34026.00000000,32.03213462,0.00000000,2.40075643,0.00000000,0.61867036,0.00000000,7.10024937,0.00000000,
376,34123.00000000,31.76672098,0.00000000,2.59872425,0.00000000,0.59549740,0.00000000,7.03461805,0.00000000,
377,34214.00000000,31.93092401,0.00000000,2.63338397,0.00000000,0.60580596,0.00000000,7.56605636,0.00000000,
378,34306.00000000,30.68455648,0.00000000,2.49047939,0.00000000,0.60431725,0.00000000,8.36539893,0.00000000,
379,34396.00000000,31.82730976,0.00000000,2.40305230,0.00000000,0.62359816,0.00000000,7.04580092,0.00000000,
380,34488.00000000,31.75300868,0.00000000,2.42117563,0.00000000,0.62907928,0.00000000,8.11463824,0.00000000,
381,34580.00000000,31.76353160,0.00000000,2.42609793,0.00000000,0.63054197,0.00000000,8.26926486,0.00000000,
382,34669.00000000,31.62517919,0.00000000,2.61432940,0.00000000,0.61176799,0.00000000,7.33915506,0.00000000,
383,34762.00000000,31.58847269,0.00000000,2.58626260,0.00000000,0.61112085,0.00000000,8.18830612,0.00000000,
384,34855.00000000,31.58561632,0.00000000,2.43912379,0.00000000,0.61178724,0.00000000,7.96347038,0.00000000,
385,34948.00000000,30.30271673,0.00000000,2.43446784,0.00000000,0.62835607,0.00000000,9.29162073,0.00000000,
386,35041.00000000,28.34120660,0.00000000,2.43552756,0.00000000,0.63317797,0.00000000,8.69417651,0.00000000,
387,35138.00000000,31.44775911,0.00000000,2.58748829,0.00000000,0.60651744,0.00000000,8.30596487,0.00000000,
388,35226.00000000,29.48392481,0.00000000,2.45755632,0.00000000,0.63369918,0.00000000,8.61079792,0.00000000,
389,35317.00000000,30.21248906,0.00000000,2.45900735,0.00000000,0.63761922,0.00000000,8.03863433,0.00000000,
390,35406.00000000,31.43643267,0.00000000,2.64892998,0.00000000,0.64632405,0.00000000,7.47622599,0.00000000,
391,35499.00000000,31.22306433,0.00000000,2.45636159,0.00000000,0.63772396,0.00000000,7.60350968,0.00000000,
392,35590.00000000,28.18563989,0.00000000,2.45654071,0.00000000,0.63858885,0.00000000,8.37779759,0.00000000,
393,35682.00000000,29.26038343,0.00000000,2.58723003,0.00000000,0.62912740,0.00000000,8.20397528,0.00000000,
394,35774.00000000,31.08084287,0.00000000,2.46741567,0.00000000,0.63899191,0.00000000,8.17741778,0.00000000,
395,35863.00000000,31.07906439,0.00000000,2.61073604,0.00000000,0.64773773,0.00000000,8.32900900,0.00000000,
396,35954.00000000,31.00708267,0.00000000,2.48198079,0.00000000,0.64794119,0.00000000,7.75439519,0.00000000,
397,36046.00000000,30.93010584,0.00000000,2.49980206,0.00000000,0.63408843,0.00000000,8.21085912,0.00000000,
398,36138.00000000,28.80420428,0.00000000,2.49462877,0.00000000,0.65626504,0.00000000,7.13149028,0.00000000,
399,36227.00000000,30.91788524,0.00000000,2.49816655,0.00000000,0.65632600,0.00000000,8.76784530,0.00000000,
400,36318.00000000,28.76860569,0.00000000,2.60202616,0.00000000,0.62979499,0.00000000,7.57083208,0.00000000,
401,36407.00000000,30.85012831,0.00000000,2.51245338,0.00000000,0.65691723,0.00000000,9.01634976,0.00000000,
402,36499.00000000,28.64073332,0.00000000,2.50382083,0.00000000,0.63261151,0.00000000,8.54680789,0.00000000,
403,36591.00000000,28.63331739,0.00000000,2.52016797,0.00000000,0.65399924,0.00000000,9.38936187,0.00000000,
404,36683.00000000,28.60346641,0.00000000,2.56090734,0.00000000,0.63780031,0.00000000,8.67874120,0.00000000,
405,36772.00000000,30.65394028,0.00000000,2.65939195,0.00000000,0.64344557,0.00000000,7.41857639,0.00000000,
406,36861.00000000,28.51079521,0.00000000,2.51762797,0.00000000,0.65274083,0.00000000,8.88690936,0.00000000,
407,36953.00000000,29.38635107,0.00000000,2.75570664,0.00000000,0.66169349,0.00000000,8.73724418,0.00000000,
408,37042.00000000,30.46835908,0.00000000,2.54287785,0.00000000,0.66146700,0.00000000,8.76623805,0.00000000,
409,37132.00000000,27.51892744,0.00000000,2.62468766,0.00000000,0.66445456,0.00000000,10.78988582,0.00000000,
410,37224.00000000,28.28215731,0.00000000,2.54332490,0.00000000,0.65128566,0.00000000,9.42585252,0.00000000,
411,37315.00000000,28.32864103,0.00000000,2.54491469,0.00000000,0.68504082,0.00000000,7.89044486,0.00000000,
412,37406.00000000,28.50840528,0.00000000,2.64684879,0.00000000,0.66407092,0.00000000,9.17367556,0.00000000,
413,37498.00000000,28.45050101,0.00000000,2.54802419,0.00000000,0.67014083,0.00000000,8.21290226,0.00000000,
414,37588.00000000,28.21425229,0.00000000,2.56668904,0.00000000,0.66546386,0.00000000,8.33513010,0.00000000,
415,37680.00000000,30.21732326,0.00000000,2.55622293,0.00000000,0.64767664,0.00000000,9.27394366,0.00000000,
416,37772.00000000,30.25439738,0.00000000,2.66341858,0.00000000,0.65701038,0.00000000,8.39836920,0.00000000,
417,37861.00000000,28.15095067,0.00000000,2.56464790,0.00000000,0.67008128,0.00000000,9.18186350,0.00000000,
418,37952.00000000,28.11572765,0.00000000,2.57368226,0.00000000,0.69841604,0.00000000,9.52910127,0.00000000,
419,38043.00000000,28.01107305,0.00000000,2.58542880,0.00000000,0.67411034,0.00000000,9.72909937,0.00000000,
420,38136.00000000,28.03997428,0.00000000,2.57867184,0.00000000,0.67569725,0.00000000,9.39267203,0.00000000,
421,38228.00000000,27.07516889,0.00000000,2.58158714,0.00000000,0.65786663,0.00000000,8.49591949,0.00000000,
422,38320.00000000,29.98209956,0.00000000,2.59989782,0.00000000,0.69838105,0.00000000,8.11067635,0.00000000,
423,38410.00000000,28.75774060,0.00000000,2.62857417,0.00000000,0.68055505,0.00000000,9.80893382,0.00000000,
424,38501.00000000,28.02231088,0.00000000,2.72450693,0.00000000,0.67918937,0.00000000,10.77343005,0.00000000,
425,38590.00000000,28.65816495,0.00000000,2.59608398,0.00000000,0.68358156,0.00000000,8.80963110,0.00000000,
426,38679.00000000,29.73062697,0.00000000,2.60817908,0.00000000,0.71201406,0.00000000,8.43072865,0.00000000,
427,38768.00000000,27.79824967,0.00000000,2.61918725,0.00000000,0.70506022,0.00000000,9.18678825,0.00000000,
428,38857.00000000,29.68897530,0.00000000,2.61300257,0.00000000,0.71238564,0.00000000,8.71423053,0.00000000,
429,38949.00000000,27.66004899,0.00000000,2.65525305,0.00000000,0.68845621,0.00000000,9.99952842,0.00000000,
430,39040.00000000,28.55989873,0.00000000,2.77966026,0.00000000,0.67434538,0.00000000,7.88222221,0.00000000,
431,39129.00000000,29.54851720,0.00000000,2.62990358,0.00000000,0.71049042,0.00000000,7.64619852,0.00000000,
432,39217.00000000,29.47720520,0.00000000,2.62003814,0.00000000,0.70953296,0.00000000,8.92188896,0.00000000,
433,39310.00000000,27.71904247,0.00000000,2.78063438,0.00000000,0.69171625,0.00000000,9.54795709,0.00000000,
434,39403.00000000,27.44065452,0.00000000,2.65614191,0.00000000,0.69340567,0.00000000,8.43838347,0.00000000,
435,39495.00000000,28.31168823,0.00000000,2.63762748,0.00000000,0.70363345,0.00000000,8.83879510,0.00000000,
436,39585.00000000,27.38751091,0.00000000,2.69277826,0.00000000,0.69374974,0.00000000,9.20190024,0.00000000,
437,39675.00000000,27.33840424,0.00000000,2.70101215,0.00000000,0.70211959,0.00000000,10.50774871,0.00000000,
438,39763.00000000,28.15616719,0.00000000,2.66484132,0.00000000,0.70842474,0.00000000,10.20952108,0.00000000,
439,39856.00000000,27.27033239,0.00000000,2.70476941,0.00000000,0.70181790,0.00000000,8.43681104,0.00000000,
440,39948.00000000,29.12092091,0.00000000,2.76278962,0.00000000,0.72315897,0.00000000,9.29144875,0.00000000,
441,40039.00000000,26.36934610,0.00000000,2.77623757,0.00000000,0.72505997,0.00000000,9.25136321,0.00000000,
442,40130.00000000,27.41262610,0.00000000,2.76723468,0.00000000,0.70319896,0.00000000,10.26519223,0.00000000,
443,40221.00000000,29.07384709,0.00000000,2.72424782,0.00000000,0.69879956,0.00000000,8.11960627,0.00000000,
444,40313.00000000,27.96404767,0.00000000,2.68422981,0.00000000,0.70938714,0.00000000,9.26901901,0.00000000,
445,40404.00000000,27.09779391,0.00000000,2.72289699,0.00000000,0.70615013,0.00000000,10.26670547,0.00000000,
446,40496.00000000,27.01064843,0.00000000,2.83819774,0.00000000,0.71205649,0.00000000,9.32661986,0.00000000,
447,40586.00000000,28.89123180,0.00000000,2.75166914,0.00000000,0.70873733,0.00000000,9.17133578,0.00000000,
448,40678.00000000,27.75969715,0.00000000,2.78343114,0.00000000,0.70790374,0.00000000,8.86722315,0.00000000,
449,40773.00000000,25.28903221,0.00000000,2.70900445,0.00000000,0.70944113,0.00000000,10.05885806,0.00000000,
450,40866.00000000,27.66126023,0.00000000,2.79035239,0.00000000,0.73482461,0.00000000,9.41919895,0.00000000,
451,40958.00000000,27.66264007,0.00000000,2.71224660,0.00000000,0.74166115,0.00000000,9.15510789,0.00000000,
452,41049.00000000,27.68061148,0.00000000,2.70018505,0.00000000,0.74320119,0.00000000,12.31550407,0.00000000,
453,41140.00000000,26.95775948,0.00000000,2.71551684,0.00000000,0.71944636,0.00000000,11.77603824,0.00000000,
454,41232.00000000,28.55101807,0.00000000,2.76350665,0.00000000,0.71538612,0.00000000,10.14071758,0.00000000,
455,41325.00000000,28.50281154,0.00000000,2.77590768,0.00000000,0.72079544,0.00000000,9.38673619,0.00000000,
456,41415.00000000,28.50410401,0.00000000,2.61727137,0.00000000,0.71673021,0.00000000,10.35718217,0.00000000,
457,41507.00000000,28.49202441,0.00000000,2.82607174,0.00000000,0.71816609,0.00000000,10.37082622,0.00000000,
458,41598.00000000,25.05824158,0.00000000,2.73445395,0.00000000,0.72076137,0.00000000,11.20117521,0.00000000,
459,41688.00000000,26.56892823,0.00000000,2.79297514,0.00000000,0.72677983,0.00000000,9.25081629,0.00000000,
460,41777.00000000,27.28691662,0.00000000,2.75621786,0.00000000,0.72564678,0.00000000,9.36558791,0.00000000,
461,41869.00000000,28.25834553,0.00000000,2.91253202,0.00000000,0.72343683,0.00000000,9.38319194,0.00000000,
462,41960.00000000,28.35102887,0.00000000,2.75860877,0.00000000,0.73478432,0.00000000,9.71549805,0.00000000,
463,42050.00000000,27.23779835,0.00000000,2.81633610,0.00000000,0.72944508,0.00000000,11.37076159,0.00000000,
464,42143.00000000,28.25462766,0.00000000,2.80705258,0.00000000,0.73037019,0.00000000,9.18597250,0.00000000,
465,42232.00000000,28.09865822,0.00000000,2.75653042,0.00000000,0.72597885,0.00000000,11.28466070,0.00000000,
466,42324.00000000,24.75840322,0.00000000,2.78444177,0.00000000,0.73232407,0.00000000,11.27486493,0.00000000,
