sep=,
#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"ARR_DATA(I)","Integral(5.44040184,5.39316392)","","Integral(5.26046627,5.21905797)","","Integral(4.67084105,4.62131936)","","Integral(4.01091143,3.98242444)","",
46,4094.00000000,48.64441857,0.00000000,0.61047345,0.00000000,0.02027029,0.00000000,1.22489747,0.00000000,
47,4184.00000000,48.57983252,0.00000000,0.61565800,0.00000000,0.02112245,0.00000000,1.24357945,0.00000000,
48,4275.00000000,44.51569255,0.00000000,0.62378900,0.00000000,0.01419143,0.00000000,1.27629377,0.00000000,
49,4367.00000000,47.13815899,0.00000000,0.63321215,0.00000000,0.01838353,0.00000000,1.33060040,0.00000000,
50,4456.00000000,44.73790450,0.00000000,0.63747924,0.00000000,0.02058591,0.00000000,1.26251680,0.00000000,
51,4548.00000000,48.53481095,0.00000000,0.62375653,0.00000000,0.02636550,0.00000000,1.44718391,0.00000000,
52,4639.00000000,48.30761918,0.00000000,0.66063012,0.00000000,0.02553747,0.00000000,1.37450690,0.00000000,
53,4731.00000000,48.47384175,0.00000000,0.67185038,0.00000000,0.02986305,0.00000000,1.30063721,0.00000000,
54,4820.00000000,48.29532277,0.00000000,0.67348411,0.00000000,0.03140736,0.00000000,1.43977152,0.00000000,
55,4910.00000000,44.21676040,0.00000000,0.69055990,0.00000000,0.03181840,0.00000000,1.44724346,0.00000000,
56,5003.00000000,48.18184388,0.00000000,0.69191138,0.00000000,0.03206070,0.00000000,1.44487733,0.00000000,
57,5095.00000000,48.15187667,0.00000000,0.70332221,0.00000000,0.03499105,0.00000000,1.61886631,0.00000000,
58,5188.00000000,48.04744967,0.00000000,0.70577938,0.00000000,0.03480842,0.00000000,1.55471436,0.00000000,
59,5278.00000000,48.02492544,0.00000000,0.71504944,0.00000000,0.03706792,0.00000000,1.47428872,0.00000000,
60,5372.00000000,48.00018144,0.00000000,0.71565510,0.00000000,0.04612300,0.00000000,1.66200056,0.00000000,
61,5461.00000000,47.98807912,0.00000000,0.72193589,0.00000000,0.04365004,0.00000000,1.68066014,0.00000000,
62,5554.00000000,47.83392198,0.00000000,0.79638759,0.00000000,0.04701319,0.00000000,1.60229641,0.00000000,
63,5644.00000000,39.08593889,0.00000000,0.76766648,0.00000000,0.05084449,0.00000000,1.61477925,0.00000000,
64,5734.00000000,47.75019843,0.00000000,0.75393915,0.00000000,0.04603718,0.00000000,1.65342750,0.00000000,
65,5822.00000000,39.12554864,0.00000000,0.79060022,0.00000000,0.05387520,0.00000000,1.65481717,0.00000000,
66,5911.00000000,47.70490023,0.00000000,0.79966201,0.00000000,0.05392816,0.00000000,1.82878883,0.00000000,
67,6001.00000000,47.62533889,0.00000000,0.77871943,0.00000000,0.05705957,0.00000000,1.79059594,0.00000000,
68,6092.00000000,47.58067861,0.00000000,0.78325032,0.00000000,0.05772299,0.00000000,1.76245295,0.00000000,
69,6183.00000000,47.48442058,0.00000000,0.77851034,0.00000000,0.05485250,0.00000000,1.86272275,0.00000000,
70,6279.00000000,47.40959399,0.00000000,0.78646300,0.00000000,0.06282637,0.00000000,1.70096307,0.00000000,
71,6368.00000000,46.11454147,0.00000000,0.80277742,0.00000000,0.06365877,0.00000000,1.92801262,0.00000000,
72,6457.00000000,47.51709984,0.00000000,0.80411600,0.00000000,0.06926387,0.00000000,1.82218755,0.00000000,
73,6549.00000000,47.29015097,0.00000000,0.84932879,0.00000000,0.07190771,0.00000000,2.14665565,0.00000000,
74,6640.00000000,47.32411218,0.00000000,0.85871939,0.00000000,0.07046400,0.00000000,2.14414685,0.00000000,
75,6731.00000000,47.23923765,0.00000000,0.83003642,0.00000000,0.08170299,0.00000000,2.00413485,0.00000000,
76,6819.00000000,47.08241683,0.00000000,0.86139054,0.00000000,0.08006820,0.00000000,1.94993883,0.00000000,
77,6910.00000000,47.05234562,0.00000000,0.84316871,0.00000000,0.08040065,0.00000000,2.01932147,0.00000000,
78,7001.00000000,46.93989953,0.00000000,0.91606449,0.00000000,0.08212842,0.00000000,2.20398409,0.00000000,
79,7094.00000000,46.77161235,0.00000000,0.85134793,0.00000000,0.08227758,0.00000000,1.98261546,0.00000000,
80,7183.00000000,46.93741477,0.00000000,0.89686365,0.00000000,0.08367080,0.00000000,2.14113212,0.00000000,
81,7275.00000000,46.93178411,0.00000000,0.88077006,0.00000000,0.09295906,0.00000000,2.29110709,0.00000000,
82,7365.00000000,46.86860672,0.00000000,0.92447836,0.00000000,0.09592937,0.00000000,1.95807779,0.00000000,
83,7456.00000000,45.28714292,0.00000000,0.96855749,0.00000000,0.09635922,0.00000000,2.08142022,0.00000000,
84,7548.00000000,46.60663559,0.00000000,0.92564974,0.00000000,0.09908867,0.00000000,2.26749699,0.00000000,
85,7642.00000000,46.58547790,0.00000000,0.96502324,0.00000000,0.10002296,0.00000000,2.17292638,0.00000000,
86,7734.00000000,46.56657838,0.00000000,0.90457731,0.00000000,0.09784248,0.00000000,2.27964704,0.00000000,
87,7823.00000000,46.35141591,0.00000000,0.90078807,0.00000000,0.10115847,0.00000000,2.45416983,0.00000000,
88,7915.00000000,45.12173289,0.00000000,0.91526997,0.00000000,0.10480252,0.00000000,2.19560932,0.00000000,
89,8006.00000000,42.56888679,0.00000000,0.93022784,0.00000000,0.11015391,0.00000000,2.43617973,0.00000000,
90,8099.00000000,46.34466425,0.00000000,0.96378902,0.00000000,0.10805081,0.00000000,2.50124843,0.00000000,
91,8191.00000000,44.87208514,0.00000000,0.96147225,0.00000000,0.10847336,0.00000000,2.61105802,0.00000000,
92,8282.00000000,46.20779422,0.00000000,0.98105728,0.00000000,0.11638654,0.00000000,2.58228230,0.00000000,
93,8376.00000000,46.25727666,0.00000000,0.97829545,0.00000000,0.11790615,0.00000000,2.25035670,0.00000000,
94,8469.00000000,41.33491722,0.00000000,0.96087269,0.00000000,0.12095276,0.00000000,2.67705050,0.00000000,
95,8561.00000000,46.20244892,0.00000000,0.96080813,0.00000000,0.12682827,0.00000000,2.56348554,0.00000000,
96,8650.00000000,46.12300668,0.00000000,1.00316085,0.00000000,0.12799642,0.00000000,2.48323511,0.00000000,
97,8738.00000000,45.99333361,0.00000000,1.01662821,0.00000000,0.12874099,0.00000000,2.54557526,0.00000000,
98,8829.00000000,45.93853240,0.00000000,1.02138770,0.00000000,0.13118709,0.00000000,2.83697104,0.00000000,
99,8917.00000000,44.57953208,0.00000000,1.02885607,0.00000000,0.12663402,0.00000000,2.70378684,0.00000000,
100,9009.00000000,45.87682868,0.00000000,1.07900965,0.00000000,0.13059824,0.00000000,2.56869639,0.00000000,
101,9099.00000000,45.77444754,0.00000000,1.07133676,0.00000000,0.13420389,0.00000000,2.67363439,0.00000000,
102,9192.00000000,45.67216470,0.00000000,1.04219011,0.00000000,0.13605443,0.00000000,2.75719467,0.00000000,
103,9279.00000000,45.63718502,0.00000000,1.08451439,0.00000000,0.13182268,0.00000000,2.74731190,0.00000000,
104,9373.00000000,45.58057157,0.00000000,1.10061858,0.00000000,0.14804065,0.00000000,2.87471362,0.00000000,
105,9463.00000000,45.55939221,0.00000000,1.00729412,0.00000000,0.14366780,0.00000000,2.88211748,0.00000000,
106,9563.00000000,44.08227420,0.00000000,1.01764855,0.00000000,0.14372393,0.00000000,2.83034262,0.00000000,
107,9653.00000000,45.45495240,0.00000000,1.12608370,0.00000000,0.15122706,0.00000000,3.11950493,0.00000000,
108,9742.00000000,43.88610636,0.00000000,1.13042922,0.00000000,0.14706484,0.00000000,3.00989003,0.00000000,
109,9831.00000000,45.26976623,0.00000000,1.04991156,0.00000000,0.15483806,0.00000000,3.15954942,0.00000000,
110,9920.00000000,45.32857125,0.00000000,1.09882326,0.00000000,0.15309958,0.00000000,3.04433464,0.00000000,
