#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"I-1","Integral(5.60000000,5.30000000)","","","","Integral(3.95000000,3.60000000)","","Integral(1.36000000,1.16000000)","",
47,46.00000000,262.06269673,0.00000000,0.00000000,0.00000000,178.91152821,0.00000000,52.74996078,0.00000000,
48,47.00000000,262.48368669,0.00000000,0.00000000,0.00000000,180.04776989,0.00000000,53.59329248,0.00000000,
49,48.00000000,261.99955286,0.00000000,0.00000000,0.00000000,178.78397892,0.00000000,52.77650949,0.00000000,
50,49.00000000,261.53318230,0.00000000,0.00000000,0.00000000,178.77066174,0.00000000,53.64249532,0.00000000,
51,50.00000000,262.74208667,0.00000000,0.00000000,0.00000000,179.08501787,0.00000000,52.82474082,0.00000000,
52,51.00000000,261.13726960,0.00000000,0.00000000,0.00000000,178.60492657,0.00000000,55.24172821,0.00000000,
53,52.00000000,262.08454222,0.00000000,0.00000000,0.00000000,178.83975327,0.00000000,54.43911466,0.00000000,
54,53.00000000,261.15708223,0.00000000,0.00000000,0.00000000,178.50250706,0.00000000,56.44798913,0.00000000,
55,54.00000000,261.53242322,0.00000000,0.00000000,0.00000000,178.07922810,0.00000000,53.59202101,0.00000000,
56,55.00000000,261.27534339,0.00000000,0.00000000,0.00000000,178.03650102,0.00000000,55.30138179,0.00000000,
57,56.00000000,260.91013177,0.00000000,0.00000000,0.00000000,177.69652772,0.00000000,53.53372043,0.00000000,
58,57.00000000,261.09603360,0.00000000,0.00000000,0.00000000,178.76887690,0.00000000,54.14220684,0.00000000,
59,58.00000000,260.73266192,0.00000000,0.00000000,0.00000000,178.00147470,0.00000000,54.07283922,0.00000000,
60,59.00000000,261.29442751,0.00000000,0.00000000,0.00000000,179.34269208,0.00000000,56.06924995,0.00000000,
61,60.00000000,259.71109983,0.00000000,0.00000000,0.00000000,177.62572023,0.00000000,55.44847630,0.00000000,
62,61.00000000,260.67305560,0.00000000,0.00000000,0.00000000,178.59264834,0.00000000,56.47455863,0.00000000,
63,62.00000000,260.81602219,0.00000000,0.00000000,0.00000000,178.02098558,0.00000000,54.93160444,0.00000000,
64,63.00000000,259.98084568,0.00000000,0.00000000,0.00000000,177.86819265,0.00000000,56.55198770,0.00000000,
65,64.00000000,260.35968735,0.00000000,0.00000000,0.00000000,177.78804970,0.00000000,54.02945428,0.00000000,
66,65.00000000,261.17603615,0.00000000,0.00000000,0.00000000,178.28272125,0.00000000,53.14357450,0.00000000,
67,66.00000000,260.80474283,0.00000000,0.00000000,0.00000000,177.81273129,0.00000000,53.66041517,0.00000000,
68,67.00000000,259.95698654,0.00000000,0.00000000,0.00000000,177.96974267,0.00000000,54.76144066,0.00000000,
69,68.00000000,259.69040785,0.00000000,0.00000000,0.00000000,177.97339118,0.00000000,54.94613117,0.00000000,
70,69.00000000,259.71652350,0.00000000,0.00000000,0.00000000,177.30187679,0.00000000,55.60866289,0.00000000,
71,70.00000000,259.84939516,0.00000000,0.00000000,0.00000000,177.83395733,0.00000000,55.74527436,0.00000000,
72,71.00000000,260.16726519,0.00000000,0.00000000,0.00000000,178.01712170,0.00000000,56.13769312,0.00000000,
73,72.00000000,258.55199051,0.00000000,0.00000000,0.00000000,176.81041960,0.00000000,56.94315135,0.00000000,
74,73.00000000,258.74603358,0.00000000,0.00000000,0.00000000,177.92032613,0.00000000,58.74617891,0.00000000,
75,74.00000000,260.04055471,0.00000000,0.00000000,0.00000000,178.10349981,0.00000000,56.29926283,0.00000000,
76,75.00000000,259.29519993,0.00000000,0.00000000,0.00000000,177.05618063,0.00000000,56.51590342,0.00000000,
77,76.00000000,258.37754462,0.00000000,0.00000000,0.00000000,177.15111518,0.00000000,58.42561030,0.00000000,
78,77.00000000,259.58826315,0.00000000,0.00000000,0.00000000,178.01199327,0.00000000,58.17489998,0.00000000,
79,78.00000000,259.53581465,0.00000000,0.00000000,0.00000000,177.63869444,0.00000000,57.25390461,0.00000000,
80,79.00000000,258.73595152,0.00000000,0.00000000,0.00000000,177.01904451,0.00000000,57.42511473,0.00000000,
81,80.00000000,258.79418962,0.00000000,0.00000000,0.00000000,177.55455691,0.00000000,56.89142877,0.00000000,
82,81.00000000,259.37907627,0.00000000,0.00000000,0.00000000,177.71210394,0.00000000,56.63160494,0.00000000,
83,82.00000000,259.12853902,0.00000000,0.00000000,0.00000000,177.37547140,0.00000000,58.62259098,0.00000000,
84,83.00000000,258.32307401,0.00000000,0.00000000,0.00000000,177.02224983,0.00000000,59.48883438,0.00000000,
85,84.00000000,258.33843496,0.00000000,0.00000000,0.00000000,176.93203369,0.00000000,55.91005531,0.00000000,
86,85.00000000,258.47505068,0.00000000,0.00000000,0.00000000,176.59519460,0.00000000,58.47398950,0.00000000,
87,86.00000000,258.81323864,0.00000000,0.00000000,0.00000000,177.50254706,0.00000000,57.79918625,0.00000000,
88,87.00000000,258.84728753,0.00000000,0.00000000,0.00000000,176.59552638,0.00000000,55.97325279,0.00000000,
89,88.00000000,258.81302660,0.00000000,0.00000000,0.00000000,177.01857088,0.00000000,56.62145223,0.00000000,
90,89.00000000,258.58229877,0.00000000,0.00000000,0.00000000,176.94013268,0.00000000,58.09657797,0.00000000,
91,90.00000000,258.01674494,0.00000000,0.00000000,0.00000000,176.77454392,0.00000000,58.48532018,0.00000000,
92,91.00000000,258.24452160,0.00000000,0.00000000,0.00000000,176.56742295,0.00000000,57.96324606,0.00000000,
93,92.00000000,257.59369546,0.00000000,0.00000000,0.00000000,176.63815693,0.00000000,57.00637613,0.00000000,
94,93.00000000,258.16680903,0.00000000,0.00000000,0.00000000,176.95145309,0.00000000,57.13040821,0.00000000,
95,94.00000000,258.43619228,0.00000000,0.00000000,0.00000000,177.05433964,0.00000000,58.96407410,0.00000000,
96,95.00000000,258.17353619,0.00000000,0.00000000,0.00000000,176.50296623,0.00000000,58.46019335,0.00000000,
97,96.00000000,257.43385019,0.00000000,0.00000000,0.00000000,176.50052153,0.00000000,58.47542065,0.00000000,
98,97.00000000,257.13481441,0.00000000,0.00000000,0.00000000,177.10588618,0.00000000,60.50935801,0.00000000,
99,98.00000000,257.94330413,0.00000000,0.00000000,0.00000000,176.62010880,0.00000000,58.99841716,0.00000000,
100,99.00000000,257.09743893,0.00000000,0.00000000,0.00000000,176.28656287,0.00000000,59.92222767,0.00000000,
101,100.00000000,256.80343051,0.00000000,0.00000000,0.00000000,175.73467254,0.00000000,59.77716887,0.00000000,
102,101.00000000,256.46800208,0.00000000,0.00000000,0.00000000,176.69323604,0.00000000,61.82743078,0.00000000,
103,102.00000000,256.46472002,0.00000000,0.00000000,0.00000000,176.66200611,0.00000000,61.47017075,0.00000000,
104,103.00000000,256.59421174,0.00000000,0.00000000,0.00000000,175.79676918,0.00000000,60.64830757,0.00000000,
105,104.00000000,257.19574864,0.00000000,0.00000000,0.00000000,175.89298147,0.00000000,59.45302950,0.00000000,
106,105.00000000,256.82987934,0.00000000,0.00000000,0.00000000,176.28661575,0.00000000,60.07566308,0.00000000,
107,106.00000000,256.19994677,0.00000000,0.00000000,0.00000000,176.13878725,0.00000000,62.75112425,0.00000000,
108,107.00000000,256.88509947,0.00000000,0.00000000,0.00000000,176.12040766,0.00000000,61.52804890,0.00000000,
109,108.00000000,256.22722657,0.00000000,0.00000000,0.00000000,175.63074473,0.00000000,60.68768189,0.00000000,
110,109.00000000,256.15073691,0.00000000,0.00000000,0.00000000,175.49542927,0.00000000,62.45895537,0.00000000,
111,110.00000000,256.01047719,0.00000000,0.00000000,0.00000000,176.14589591,0.00000000,61.88629600,0.00000000,
112,111.00000000,255.55905943,0.00000000,0.00000000,0.00000000,175.26182228,0.00000000,61.30196982,0.00000000,
113,112.00000000,255.75117792,0.00000000,0.00000000,0.00000000,175.89507109,0.00000000,61.12357438,0.00000000,
114,113.00000000,256.30570559,0.00000000,0.00000000,0.00000000,175.41453191,0.00000000,59.28387875,0.00000000,
115,114.00000000,256.74079166,0.00000000,0.00000000,0.00000000,175.95449024,0.00000000,61.66143566,0.00000000,
116,115.00000000,255.35399227,0.00000000,0.00000000,0.00000000,175.35491062,0.00000000,61.91753653,0.00000000,
117,116.00000000,256.31777542,0.00000000,0.00000000,0.00000000,175.39634719,0.00000000,61.10929504,0.00000000,
118,117.00000000,256.22685028,0.00000000,0.00000000,0.00000000,175.74034282,0.00000000,59.11991057,0.00000000,
119,118.00000000,254.92690417,0.00000000,0.00000000,0.00000000,174.60284312,0.00000000,59.96524456,0.00000000,
120,119.00000000,255.29881317,0.00000000,0.00000000,0.00000000,174.92957226,0.00000000,60.76274049,0.00000000,
121,120.00000000,255.21617106,0.00000000,0.00000000,0.00000000,174.65303393,0.00000000,60.03048117,0.00000000,
122,121.00000000,254.40134726,0.00000000,0.00000000,0.00000000,174.77197335,0.00000000,62.25326367,0.00000000,
123,122.00000000,254.76170866,0.00000000,0.00000000,0.00000000,175.56712096,0.00000000,64.24123733,0.00000000,
124,123.00000000,254.92892857,0.00000000,0.00000000,0.00000000,174.80152097,0.00000000,60.80679565,0.00000000,
125,124.00000000,253.82499860,0.00000000,0.00000000,0.00000000,174.31030419,0.00000000,62.14033900,0.00000000,
126,125.00000000,253.14178605,0.00000000,0.00000000,0.00000000,174.14839087,0.00000000,61.78342798,0.00000000,
127,126.00000000,253.55842729,0.00000000,0.00000000,0.00000000,174.03628817,0.00000000,61.40898715,0.00000000,
128,127.00000000,254.78014189,0.00000000,0.00000000,0.00000000,174.58499154,0.00000000,60.16062811,0.00000000,
129,128.00000000,254.07278200,0.00000000,0.00000000,0.00000000,174.21276928,0.00000000,61.68415463,0.00000000,
130,129.00000000,253.80465941,0.00000000,0.00000000,0.00000000,174.81827301,0.00000000,61.43755830,0.00000000,
131,130.00000000,254.32614609,0.00000000,0.00000000,0.00000000,174.86341082,0.00000000,62.58484621,0.00000000,
132,131.00000000,253.48782455,0.00000000,0.00000000,0.00000000,174.76888945,0.00000000,62.91962842,0.00000000,
133,132.00000000,252.97841547,0.00000000,0.00000000,0.00000000,174.47029660,0.00000000,63.35166054,0.00000000,
134,133.00000000,253.64657631,0.00000000,0.00000000,0.00000000,174.28010613,0.00000000,62.85748557,0.00000000,
135,134.00000000,252.78488604,0.00000000,0.00000000,0.00000000,174.46562723,0.00000000,64.93304014,0.00000000,
136,135.00000000,253.63623032,0.00000000,0.00000000,0.00000000,174.16370404,0.00000000,62.56184166,0.00000000,
137,136.00000000,253.08707615,0.00000000,0.00000000,0.00000000,173.52062953,0.00000000,62.88747390,0.00000000,
138,137.00000000,253.45229611,0.00000000,0.00000000,0.00000000,174.12699297,0.00000000,62.68164828,0.00000000,
139,138.00000000,252.44464493,0.00000000,0.00000000,0.00000000,174.03404945,0.00000000,65.43885472,0.00000000,
140,139.00000000,252.50927872,0.00000000,0.00000000,0.00000000,174.51459313,0.00000000,64.84012659,0.00000000,
141,140.00000000,252.78990313,0.00000000,0.00000000,0.00000000,174.38822173,0.00000000,63.06926156,0.00000000,
142,141.00000000,252.52304087,0.00000000,0.00000000,0.00000000,173.82727174,0.00000000,62.85345085,0.00000000,
143,142.00000000,252.08100824,0.00000000,0.00000000,0.00000000,173.90340402,0.00000000,63.79263896,0.00000000,
144,143.00000000,252.64834864,0.00000000,0.00000000,0.00000000,174.15922469,0.00000000,64.10534101,0.00000000,
145,144.00000000,251.74448924,0.00000000,0.00000000,0.00000000,173.70435282,0.00000000,64.35597599,0.00000000,
146,145.00000000,252.38902552,0.00000000,0.00000000,0.00000000,173.63891215,0.00000000,64.67119127,0.00000000,
147,146.00000000,252.02850335,0.00000000,0.00000000,0.00000000,173.76887990,0.00000000,64.85697688,0.00000000,
148,147.00000000,251.40306957,0.00000000,0.00000000,0.00000000,173.43828148,0.00000000,65.28018876,0.00000000,
149,148.00000000,251.86694283,0.00000000,0.00000000,0.00000000,173.72670853,0.00000000,65.71047126,0.00000000,
150,149.00000000,252.02577394,0.00000000,0.00000000,0.00000000,173.82069542,0.00000000,64.78686705,0.00000000,
151,150.00000000,251.73880118,0.00000000,0.00000000,0.00000000,173.69934681,0.00000000,65.48886542,0.00000000,
152,151.00000000,250.91757856,0.00000000,0.00000000,0.00000000,172.84443926,0.00000000,63.86673358,0.00000000,
153,152.00000000,251.01836557,0.00000000,0.00000000,0.00000000,172.94609804,0.00000000,63.64568529,0.00000000,
154,153.00000000,250.48970078,0.00000000,0.00000000,0.00000000,172.94132651,0.00000000,65.33228019,0.00000000,
155,154.00000000,250.86412532,0.00000000,0.00000000,0.00000000,173.08033502,0.00000000,65.83330509,0.00000000,
156,155.00000000,250.39494832,0.00000000,0.00000000,0.00000000,172.91474005,0.00000000,65.97201278,0.00000000,
157,156.00000000,250.42032100,0.00000000,0.00000000,0.00000000,172.84390298,0.00000000,64.98078427,0.00000000,
158,157.00000000,251.36722767,0.00000000,0.00000000,0.00000000,173.54868792,0.00000000,65.25203080,0.00000000,
159,158.00000000,250.34568338,0.00000000,0.00000000,0.00000000,173.85020425,0.00000000,68.03073153,0.00000000,
160,159.00000000,249.70604339,0.00000000,0.00000000,0.00000000,172.51135910,0.00000000,68.43432979,0.00000000,
161,160.00000000,250.52120796,0.00000000,0.00000000,0.00000000,172.76060114,0.00000000,65.45882356,0.00000000,
162,161.00000000,249.83596402,0.00000000,0.00000000,0.00000000,172.93881774,0.00000000,66.65266039,0.00000000,
163,162.00000000,248.50924880,0.00000000,0.00000000,0.00000000,171.95213193,0.00000000,67.94160561,0.00000000,
164,163.00000000,249.85322046,0.00000000,0.00000000,0.00000000,172.12180668,0.00000000,67.65714340,0.00000000,
165,164.00000000,249.80349310,0.00000000,0.00000000,0.00000000,171.82225328,0.00000000,64.60708331,0.00000000,
166,165.00000000,249.05113774,0.00000000,0.00000000,0.00000000,171.80551065,0.00000000,68.21465253,0.00000000,
167,166.00000000,249.22535942,0.00000000,0.00000000,0.00000000,172.62594102,0.00000000,68.44745462,0.00000000,
168,167.00000000,249.58361562,0.00000000,0.00000000,0.00000000,172.12622872,0.00000000,68.44977104,0.00000000,
169,168.00000000,248.66621504,0.00000000,0.00000000,0.00000000,171.90077112,0.00000000,68.64905928,0.00000000,
170,169.00000000,249.58947972,0.00000000,0.00000000,0.00000000,172.47894319,0.00000000,66.30406599,0.00000000,
171,170.00000000,249.08042364,0.00000000,0.00000000,0.00000000,172.79404248,0.00000000,66.97187688,0.00000000,
172,171.00000000,248.97445321,0.00000000,0.00000000,0.00000000,173.00162207,0.00000000,68.88970719,0.00000000,
173,172.00000000,248.28940353,0.00000000,0.00000000,0.00000000,171.71386783,0.00000000,68.60075556,0.00000000,
174,173.00000000,248.62749916,0.00000000,0.00000000,0.00000000,171.84937163,0.00000000,69.73006748,0.00000000,
175,174.00000000,246.79949094,0.00000000,0.00000000,0.00000000,171.01078866,0.00000000,71.30314178,0.00000000,
176,175.00000000,247.21072702,0.00000000,0.00000000,0.00000000,171.63381062,0.00000000,68.74168302,0.00000000,
177,176.00000000,247.59997838,0.00000000,0.00000000,0.00000000,171.41240814,0.00000000,69.40051851,0.00000000,
178,177.00000000,246.93242869,0.00000000,0.00000000,0.00000000,171.44282329,0.00000000,67.74727225,0.00000000,
179,178.00000000,246.89166067,0.00000000,0.00000000,0.00000000,171.11987456,0.00000000,69.56522042,0.00000000,
180,179.00000000,246.76026596,0.00000000,0.00000000,0.00000000,170.76379418,0.00000000,68.36941808,0.00000000,
181,180.00000000,247.81067478,0.00000000,0.00000000,0.00000000,171.59483900,0.00000000,67.96232302,0.00000000,
182,181.00000000,246.71508599,0.00000000,0.00000000,0.00000000,171.50434380,0.00000000,70.38772493,0.00000000,
183,182.00000000,248.10943884,0.00000000,0.00000000,0.00000000,171.91871589,0.00000000,67.69461150,0.00000000,
