;produkt;produkt;produkt;produkt;silan;silan;silan;heksen;heksen;heksen;heksen;heksen;all;product sum;silane sum;hexene sum
czas (s);Integral(3,343730,3,256018);Integral(3,722376,3,681636);Integral(3,756886,3,722376);Integral(4,078496,3,994139);Integral(3,406997,3,343730);Integral(3,832615,3,756886);Integral(6,564104,6,422073);Integral(3,679897,3,599926);Integral(4,129027,4,079348);Integral(4,857709,4,668059);Integral(7,838666,7,616258);Integral(8,647265,8,440374);Integral(10,387961,2,952301);;;
200;191,522;75,5231;279,927;239,179;421,339;602,677;76,7343;301,565;185,686;203,851;180,27;75,8891;6856,57;786,1511;1100,7503;947,2611
205;197,946;77,5785;281,925;241,154;420,217;599,881;77,4012;305,089;184,155;204,371;181,132;75,8267;6881,27;798,6035;1097,4992;950,5737
210;195,066;76,4737;281,006;239,824;422,543;603,699;77,5607;303,659;185,36;204,709;181,708;75,9197;6896,16;792,3697;1103,8027;951,3557
215;191,285;76,1768;278,761;239,902;424,296;608,137;77,8724;303,309;187,491;205,18;182,708;77,338;6915,2;786,1248;1110,3054;956,026
220;195,342;76,7512;281,201;240,515;422,455;603,81;77,9237;304,097;185,502;204,717;182,639;76,8761;6916,75;793,8092;1104,1887;953,8311
225;194,295;77,0284;280,516;241,154;423,235;606,04;78,153;303,901;186,575;205,537;183,849;77,8956;6931,28;792,9934;1107,428;957,7576
230;196,121;76,9867;282,23;240,846;422,076;603,113;77,8526;304,663;185,281;204,913;182,458;76,7433;6925,35;796,1837;1103,0416;954,0583
235;197,315;77,6143;282,101;241,586;421,123;600,122;77,8797;305,697;184,756;204,82;182,259;76,7562;6912,43;798,6163;1099,1247;954,2882
240;198,055;78,0212;282,273;241,118;420,36;600,322;77,8109;304,279;184,397;204,408;182,163;76,0896;6912,67;799,4672;1098,4929;951,3366
245;195,838;76,5874;281,506;239,512;421,605;601,892;77,5195;305,253;184,664;204,21;181,407;75,8692;6900,53;793,4434;1101,0165;951,4032
250;192,004;76,2118;280,189;239,501;423,374;606,141;77,4823;301,968;186,617;204,983;182,007;76,7325;6902,31;787,9058;1106,9973;952,3075
255;195,612;77,8511;280,178;239,974;421,821;602,906;77,397;304,093;185,223;204,334;181,487;75,9123;6893,64;793,6151;1102,124;951,0493
260;196,948;78,4846;280,115;239,987;421,243;601,238;77,2147;306,065;184,743;204,172;180,589;75,2564;6887,21;795,5346;1099,6957;950,8254
265;187,528;74,9745;276,618;237,4;425,034;610,63;77,0723;300,353;188,183;204,686;181,391;77,4003;6884,92;776,5205;1112,7363;952,0133
270;186,912;74,8573;275,615;237,281;424,874;611,513;76,9605;299,319;187,975;204,368;181,214;77,9229;6874,46;774,6653;1113,3475;950,7989
275;194,087;76,7403;280,462;239,102;422,31;603,951;76,9347;304,109;185,601;204,206;180,397;75,6942;6879,34;790,3913;1103,1957;950,0072
280;199,467;78,8398;282,036;240,403;421,027;599,756;77,121;307,19;183,937;203,769;180,659;75,2221;6889,2;800,7458;1097,904;950,7771
285;197,182;77,9393;281,491;240,774;422,208;602,949;77,3304;305,238;185,222;204,409;180,719;75,4;6895,57;797,3863;1102,4874;950,988
290;190,945;76,0469;278,196;238,608;424,154;609,033;76,7977;300,641;186,973;204,243;180,235;75,5775;6880,64;783,7959;1109,9847;947,6695
295;189,162;75,3271;277,433;237,661;424,548;610,237;76,4291;300,09;187,225;203,863;180,087;76,0233;6872,09;779,5831;1111,2141;947,2883
300;194,353;77,1942;280,325;239,23;422,081;604,135;76,6123;303,356;185,463;204,096;179,954;75,2324;6869,85;791,1022;1102,8283;948,1014
305;195,822;77,9431;280,265;239,717;422,352;603,568;76,7869;305,527;184,966;204,307;179,801;74,3763;6875,7;793,7471;1102,7069;948,9773
310;190,415;76,7481;277,172;238,245;424,187;609,481;76,8528;300,863;187,094;204,38;180,505;75,9931;6875,37;782,5801;1110,5208;948,8351
315;191,045;76,2694;278,412;238,544;423,31;608,08;76,856;300,267;186,482;204,13;180,492;76,0003;6876,83;784,2704;1108,246;947,3713
320;193,404;77,2099;278,25;238,634;423,059;606,81;76,829;302,653;186,148;204,221;180,081;75,1679;6880,71;787,4979;1106,698;948,2709
325;195,309;77,9196;280,239;239,577;421,881;603,824;76,9813;303,639;185,188;203,789;180,63;75,3785;6889,02;793,0446;1102,6863;948,6245
330;189,207;76,2799;276,592;237,476;424,719;610,951;77,0344;299,964;187,687;204,237;180,907;76,5873;6887,37;779,5549;1112,7044;949,3823
335;195,57;76,6489;281,707;239,979;420,818;602,596;76,996;303,065;184,796;203,885;180,181;75,3454;6883,65;793,9049;1100,41;947,2724
340;192,133;77,2207;277,882;238,878;423,118;607,095;77,0992;302,726;186,613;204,335;180,76;76,1403;6883,29;786,1137;1107,3122;950,5743
345;198,37;77,966;281,611;239,813;421,517;601,044;76,9435;306,6;184,286;203,886;180,363;74,9215;6886,65;797,76;1099,5045;950,0565
350;195,209;77,1631;280,45;240,142;422,193;604,541;76,932;304,138;185,389;204,499;180,493;75,0307;6884,42;792,9641;1103,666;949,5497
355;191,565;76,2435;279,814;238,996;423,6;607,412;76,8056;301,635;186,833;204,339;180,613;75,4933;6881,89;786,6185;1107,8176;948,9133
360;188,669;75,2004;277,54;236,732;425,224;611,07;76,855;300,075;188,011;204,365;180,786;76,0992;6878,37;778,1414;1113,149;949,3362
365;192,724;76,9766;278,454;238,875;424,283;608,263;77,1194;303,423;187,004;204,654;180,746;76,0712;6885,44;787,0296;1109,6654;951,8982
370;195,345;77,7775;279,787;238,522;423,891;604,972;76,8977;305,845;185,656;204,205;180,202;75,0354;6884,35;791,4315;1105,7607;950,9434
375;198,504;78,2238;282,543;239,605;422,711;602,018;77,2405;306,746;184,777;204,086;180,89;75,4524;6900,18;798,8758;1101,9695;951,9514
380;202,623;79,0943;283,439;239,215;420,47;596,497;77,0278;308,037;182,506;202,663;180,653;75,512;6887,63;804,3713;1093,9948;949,371
385;195,657;77,669;280,897;239,471;422,563;604,257;76,8863;303,575;185,501;204,223;180,241;75,0723;6883,72;793,694;1103,7063;948,6123
390;202,234;79,2916;285,094;241,407;420,071;596,891;77,2628;307,93;183,209;203,897;180,946;75,6208;6900,29;808,0266;1094,2248;951,6028
395;194,419;77,8777;280,108;239,622;422,597;604,64;76,9894;304,166;185,975;204,733;180,3;75,015;6887;792,0267;1104,2264;950,189
