;produkt;produkt;produkt;produkt;silan;silan;silan;heksen;heksen;heksen;heksen;heksen;all;product sum;silane sum;hexene sum
czas (s);Integral(3,343730,3,256018);Integral(3,722376,3,681636);Integral(3,756886,3,722376);Integral(4,078496,3,994139);Integral(3,406997,3,343730);Integral(3,832615,3,756886);Integral(6,564104,6,422073);Integral(3,679897,3,599926);Integral(4,129027,4,079348);Integral(4,857709,4,668059);Integral(7,838666,7,616258);Integral(8,647265,8,440374);Integral(10,387961,2,952301);;;
825;197,875;83,2039;276,91;237,025;419,233;599,28;75,5671;303,182;183,749;202,225;176,263;72,4087;6795,35;795,0139;1094,0801;937,8277
830;199,861;84,2943;277,126;236,899;419,087;598,122;75,5659;303,731;183,001;201,951;176,075;71,922;6795,59;798,1803;1092,7749;936,68
835;198,492;83,6657;276,445;235,755;419,037;598,825;75,2975;301,924;182,862;201,489;175,544;72,0906;6781,64;794,3577;1093,1595;933,9096
840;200,441;84,896;276,096;236,749;417,505;595,629;75,2597;303,622;182,216;201,194;175,456;71,7494;6770;798,182;1088,3937;934,2374
845;195,948;82,9006;275,351;234,939;419,929;601,9;74,8903;301,267;184,143;201,425;175,022;71,64;6773,42;789,1386;1096,7193;933,497
850;198,556;83,5384;276,925;235,973;417,461;596,82;74,8043;302,211;182,74;201,134;174,597;71,1285;6760,39;794,9924;1089,0853;931,8105
855;195,729;82,863;275,304;235,272;419,082;600,944;74,8701;300,705;184,158;201,539;174,802;71,3848;6764,6;789,168;1094,8961;932,5888
860;194,356;82,7705;275,21;235,868;418,671;601,086;75,0672;299,838;184,656;201,608;175,041;71,6115;6763,23;788,2045;1094,8242;932,7545
865;186,878;79,4987;273,298;234,176;421,575;609,611;74,9705;295,366;187,546;202,6;175,766;73,5528;6771,25;773,8507;1106,1565;934,8308
870;190,142;81,2417;273,415;233,852;421,613;607,648;74,9543;297,361;186,164;201,917;174,881;71,5253;6769;778,6507;1104,2153;931,8483
875;188,153;81,3171;271,515;233,691;422,585;609,52;74,9803;296,505;187,266;202,519;175,3;72,3491;6765,05;774,6761;1107,0853;933,9391
880;193,537;82,6617;275,033;234,405;419,663;602,506;74,8003;298,91;184,815;201,861;174,029;70,3796;6755,92;785,6367;1096,9693;929,9946
885;191,044;82,479;273,026;233,784;421,605;606,67;75,0493;297,681;186,47;202,35;174,929;71,3477;6765,11;780,333;1103,3243;932,7777
890;186,512;81,4586;270,386;232,422;422,028;609,511;74,6906;295,428;187,2;201,959;174,754;72,2554;6747;770,7786;1106,2296;931,5964
895;186,397;81,3442;271,07;232,428;422,433;610,807;74,7773;293,829;187,715;201,976;174,932;72,0682;6752,34;771,2392;1108,0173;930,5202
900;196,947;84,0639;276,918;236,771;417,169;598,233;74,8457;300,141;183,644;201,819;174,626;70,9337;6753,87;794,6999;1090,2477;931,1637
905;186,679;81,714;270,908;233,442;422,422;610,184;74,9747;295,458;187,84;202,658;175,082;72,2352;6755,51;772,743;1107,5807;933,2732
910;204,864;86,4939;279,134;236,338;417,531;593,011;75,3594;306,188;181,138;200,913;176,007;71,6629;6781,79;806,8299;1085,9014;935,9089
915;193,8;83,3881;275,144;235,693;419,592;603,729;74,9903;298,651;185,244;202,495;174,962;70,9315;6766,66;788,0251;1098,3113;932,2835
920;199,002;85,2125;277,019;236,408;417,826;598,402;75,0927;301,997;183,287;201,912;174,952;70,7545;6770,31;797,6415;1091,3207;932,9025
925;192,3;83,5185;274,229;235,126;420,891;606,863;75,0605;297,952;186,237;202,995;175,434;71,9597;6776,61;785,1735;1102,8145;934,5777
930;190,002;81,8004;274,801;234,547;421,191;608,811;75,1373;295,571;186,71;202,96;175,475;72,3555;6779,63;781,1504;1105,1393;933,0715
935;194,246;84,1128;274,637;235,325;419,983;605,156;75,1211;299,43;185,538;202,529;174,905;70,5843;6776,75;788,3208;1100,2601;932,9863
940;197,014;84,695;275,347;234,186;419,907;602,575;75,1056;301,438;184,393;201,475;175,032;71,3009;6775,42;791,242;1097,5876;933,6389
945;191,904;83,0833;274,15;233,862;421,221;606,829;74,7973;298,849;186,327;202,045;174,766;71,0304;6770,36;782,9993;1102,8473;933,0174
950;190,508;82,7591;272,825;233,323;421,476;608,38;74,7664;297,706;186,82;202,327;174,371;71,1024;6761,82;779,4151;1104,6224;932,3264
955;190,76;82,4826;273,042;232,636;422,008;608,924;74,7631;297,023;186,849;202,211;173,926;70,9373;6757,55;778,9206;1105,6951;930,9463
960;191,249;82,4005;274,177;233,863;420,682;607,06;74,8282;296,888;186,599;202,254;174,371;71,2975;6757,51;781,6895;1102,5702;931,4095
965;191,387;82,4157;274,347;233,246;421,989;608,578;75,0239;297,225;186,694;202,062;174,799;71,1778;6770,71;781,3957;1105,5909;931,9578
970;204,061;86,6032;279,657;236,998;417,665;595,056;75,2482;304,907;182,399;201,151;175,265;71,1454;6781,25;807,3192;1087,9692;934,8674
975;190,919;82,7531;274,335;233,838;422,21;608,861;75,0606;296,778;187,22;202,808;174,986;71,1745;6773,15;781,8451;1106,1316;932,9665
980;192,761;83,6228;274,182;233,737;421,836;607,082;75,147;298,752;186,636;202,468;174,939;70,8989;6772,37;784,3028;1104,065;933,6939
985;196,08;84,3221;276,702;234,473;420,338;603,45;75,092;299,598;185,251;202,288;174,896;70,7402;6777,21;791,5771;1098,88;932,7732
990;193,506;84,5569;275,448;234,978;420,52;604,478;75,2126;298,407;186,369;202,451;175,052;71,8826;6774,48;788,4889;1100,2106;934,1616
995;199,047;86,6713;276,05;234,418;420,127;600,797;75,4837;301,919;184,037;201,223;175,427;71,3365;6782,01;796,1863;1096,4077;933,9425
1000;191,426;83,3092;273,607;233,589;421,517;606,882;75,0544;297,755;186,598;202,474;174,743;70,7646;6769,49;781,9312;1103,4534;932,3346
1005;196,079;85,8129;276,019;235,632;420,826;604,443;75,5886;299,286;185,797;202,86;175,31;70,9271;6789,93;793,5429;1100,8576;934,1801
1010;187,481;86,9548;269,599;233,312;425,851;612,591;75,9679;296,406;189,814;204,219;177,287;72,9286;6817,23;777,3468;1114,4099;940,6546
1015;189,873;89,0436;270,854;233,109;424,148;608,75;75,6475;295,133;188,448;203,139;176,24;72,0617;6807,91;782,8796;1108,5455;935,0217
1020;187,561;87,9437;269,598;230,952;425,228;611,987;75,6109;294,869;189,364;203,152;176,135;72,106;6804,64;776,0547;1112,8259;935,626
1025;193,439;88,4948;272,002;235,242;424,01;607,143;75,9926;299,605;186,939;203,654;176,657;71,8592;6819,32;789,1778;1107,1456;938,7142
1030;191,565;87,7895;271,99;235,082;424,653;609,16;76,1668;298,346;188,04;204,071;177,267;73,039;6827,67;786,4265;1109,9798;940,763
1035;190,65;86,6416;272,287;235,211;424,374;609,497;76,028;299,049;188,217;203,753;177,217;72,6993;6827,54;784,7896;1109,899;940,9353
1040;190,421;88,1447;270,123;234,732;425,237;611,007;76,084;298,924;188,431;204,008;176,949;72,2225;6826,34;783,4207;1112,328;940,5345
1045;193,215;88,5345;271,783;235,407;424,427;608,078;76,0996;300,857;187,519;203,934;176,72;71,8814;6828,23;788,9395;1108,6046;940,9114
1050;193,322;87,7015;272,999;235,569;423,445;607,321;75,8617;300,413;187,15;203,671;176,222;71,6111;6825,17;789,5915;1106,6277;939,0671
1055;191,364;88,1889;270,276;234,217;425,418;610,808;75,8997;299,589;188,138;203,778;176,19;71,5749;6823,23;784,0459;1112,1257;939,2699
1060;188,591;86,838;269,771;233,395;425,642;612,221;75,6892;298,175;188,809;203,301;176,266;72,8061;6816,86;778,595;1113,5522;939,3571
1065;196,432;88,2932;274,307;235,41;422,678;603,9;75,5876;301,994;185,745;203,126;175,791;71,6719;6816,84;794,4422;1102,1656;938,3279
1070;197,466;89,0326;273,898;234,982;422,998;603,76;75,6244;302,043;185,444;202,182;175,565;71,5519;6815,01;795,3786;1102,3824;936,7859
1075;193,409;88,0867;272,897;235,679;422,522;606,166;75,4093;299,179;186,668;202,947;174,776;70,6085;6797,88;790,0717;1104,0973;934,1785
1080;193;88,9309;271,065;234,615;423,114;606,599;75,3793;299,319;186,814;202,836;174,754;71,1736;6787,12;787,6109;1105,0923;934,8966
1085;198,748;90,2476;273,97;235,424;421,53;601,093;75,3052;303,395;184,639;202,366;174,711;70,9277;6792,37;798,3896;1097,9282;936,0387
1090;188,749;87,8948;269,65;234,243;423,745;610,329;75,0925;296,242;188,375;202,963;174,924;72,193;6779,91;780,5368;1109,1665;934,697
1095;197,715;90,5497;273,52;235,308;421,526;601,579;75,0735;301,666;184,729;201,886;174,451;70,6876;6781,24;797,0927;1098,1785;933,4196
1100;192,204;89,149;271,631;234,429;422,277;606,225;74,9412;298,214;186,632;202,499;174,242;70,5464;6770,41;787,413;1103,4432;932,1334
1105;195,941;89,7527;273,417;234,282;422,032;603,531;75,0605;300,962;185,447;202,335;174,481;70,2457;6778,18;793,3927;1100,6235;933,4707
1110;197,834;91,2766;272,902;235,285;421,273;602,671;75,1131;301,325;184,959;202,267;174,215;70,0053;6779,38;797,2976;1099,0571;932,7713
1115;195,066;90,662;271,273;234,189;422,943;606,198;75,1411;300,219;185,825;202,446;174,073;70,0289;6778,04;791,19;1104,2821;932,5919
1120;192,558;89,0045;269,585;234,65;424,398;610,179;75,1842;300,691;187,441;203,568;174,718;70,5625;6786,95;785,7975;1109,7612;936,9805
1125;192,994;90,7525;267,62;235,344;424,772;610,907;75,3063;301,498;187,644;203,889;175,1;70,533;6789,92;786,7105;1110,9853;938,664
1130;201,362;92,3721;272,157;236,377;422,696;603,184;75,6079;305,2;184,224;202,657;175,205;70,3335;6805,52;802,2681;1101,4879;937,6195
1135;191,589;89,9233;268,435;234,877;425,42;612,95;75,4901;299,211;188,414;203,719;175,287;70,9939;6802,75;784,8243;1113,8601;937,6249
1140;190,894;88,882;268,931;234,495;425,126;612,765;75,2851;298,362;188,58;203,645;175,071;71,1371;6797,85;783,202;1113,1761;936,7951
1145;198,122;91,7727;270,929;236,701;422,962;605,754;75,5229;304,172;185,909;203,49;175,101;70,1657;6804,53;797,5247;1104,2389;938,8377
1150;193,855;90,4201;269,604;236;423,977;609,388;75,4905;301,308;187,562;203,836;174,86;70,6242;6800,54;789,8791;1108,8555;938,1902
1155;193,341;89,9876;268,93;234,887;425,159;610,732;75,3698;302,014;187,565;203,541;174,933;70,5077;6804,53;787,1456;1111,2608;938,5607
1160;194,734;89,9701;270,639;235,518;423,764;608,459;75,4238;300,119;186,975;203,086;174,435;70,147;6801,01;790,8611;1107,6468;934,762
1165;196,498;90,4705;269,981;234,975;425,343;608,713;75,5789;303,019;186,597;203,107;175,171;70,4995;6811,87;791,9245;1109,6349;938,3935
1170;203,491;92,971;271,875;235,791;423,246;601,858;75,6822;307,929;183,864;202,14;175,862;71,6234;6820,4;804,128;1100,7862;941,4184
1175;195,259;90,2004;269,443;234,916;424,969;609,245;75,4636;302,004;186,528;202,759;174,903;70,9154;6806,72;789,8184;1109,6776;937,1094
1180;200,872;92,4765;270,873;235,832;422,496;602,651;75,4822;305,227;184,324;202,334;175,226;70,7378;6800,84;800,0535;1100,6292;937,8488
1185;188,326;89,357;265,749;233,615;426,619;616,03;75,3079;297,577;189,307;203,583;174,811;71,1642;6793,64;777,047;1117,9569;936,4422
1190;196,087;90,7912;269,324;234,732;424,021;607,317;75,1815;303,617;186,166;202,771;174,614;70,3841;6794,31;790,9342;1106,5195;937,5521
1195;192,817;91,1968;267,038;235,475;424,477;610,386;75,4177;300,844;187,794;203,447;174,548;70,4172;6789,4;786,5268;1110,2807;937,0502
1200;192,415;90,7855;267,754;234,759;423,849;609,895;75,3122;299,008;187,304;203,189;174,266;70,3731;6784,18;785,7135;1109,0562;934,1401
1205;195,202;91,9269;268,164;235,931;423,103;607,816;75,3067;302,216;186,55;203,332;174,192;69,9861;6787,93;791,2239;1106,2257;936,2761
1210;191,543;91,2041;266,446;234,797;424,86;611,541;75,3241;300,496;188,016;203,463;174,841;71,3678;6789,88;783,9901;1111,7251;938,1838
1215;191,791;90,906;266,947;234,027;424,479;611,083;75,2724;299,988;187,397;203,193;173,929;69,602;6781,09;783,671;1110,8344;934,109
1220;199,103;93,1065;270,102;236,013;421,784;602,887;75,3069;304,488;184,814;202,503;174,145;69,8117;6783,38;798,3245;1099,9779;935,7617
1225;193,481;91,9109;267,778;235,345;423,628;609,065;75,2886;299,919;187,359;203,194;174,16;70,3195;6784,18;788,5149;1107,9816;934,9515
1230;196,144;93,5611;267,586;235,993;423,283;607,548;75,4485;302,88;186,651;203,429;174,182;69,5921;6787,66;793,2841;1106,2795;936,7341
1235;192,909;91,4108;268,026;235,304;423,618;609,907;75,2952;300,093;187,429;203,236;174,383;70,2073;6788,2;787,6498;1108,8202;935,3483
1240;190,215;90,4936;266,326;234,226;425,677;613,054;75,4342;299,352;188,758;203,489;174,66;70,6211;6786,55;781,2606;1114,1652;936,8801
1245;188,787;89,8268;266,13;233,083;427,012;615,845;75,4226;298,225;189,428;203,958;174,747;70,8273;6797,93;777,8268;1118,2796;937,1853
1250;192,79;91,5801;267,203;234,139;425,809;611,507;75,5428;301,886;188,146;203,549;175,016;70,122;6800,05;785,7121;1112,8588;938,719
1255;194,632;92,9996;267,26;235,127;424,834;609,958;75,635;301,299;187,628;203,329;174,545;69,8321;6798,06;790,0186;1110,427;936,6331
1260;193,361;92,8506;267,124;235,267;425,161;610,296;75,5757;300,746;188,123;203,645;174,813;70,6868;6798,8;788,6026;1111,0327;938,0138
1265;201,079;95,5474;269,066;235,375;425,141;605,386;76,0327;305,648;185,58;202,559;175,651;70,7096;6818,57;801,0674;1106,5597;940,1476
1270;199,22;87,1361;278,964;240,124;424,247;611,925;77,2513;305,101;188,516;206,09;178,243;72,7899;6876,93;805,4441;1113,4233;950,7399
1275;203,655;89,4009;277,437;238,989;422,567;606,988;76,442;307,603;185,565;204,517;176,233;70,9385;6837,05;809,4819;1105,997;944,8565
1280;203,331;88,9444;277,092;237,407;422,556;607,068;76,3547;307,158;185,262;203,62;176,195;70,9514;6827,58;806,7744;1105,9787;943,1864
1285;208,906;90,3773;279,647;239,001;420,871;601,943;76,3471;309,472;183,578;202,83;176,598;72,0468;6838,23;817,9313;1099,1611;944,5248
1290;196,366;87,0076;275,467;237,362;424,09;614,38;76,1611;301,131;187,937;204,167;175,619;70,7847;6827,1;796,2026;1114,6311;939,6387
1295;195,204;86,5732;274,994;237,654;424,414;615,081;76,2919;302,087;188,81;204,921;176,166;72,2438;6831,07;794,4252;1115,7869;944,2278
1300;207,705;90,7395;279,691;239,363;421,013;603,754;76,6472;308,084;184,075;203,356;176,479;71,7201;6843,95;817,4985;1101,4142;943,7141
1305;199,873;87,6739;278,031;238,817;422,485;610,299;76,1938;303,961;186,932;204,448;175,516;70,6584;6832,78;804,3949;1108,9778;941,5154
1310;199,164;88,291;276,363;238,174;423,721;612,589;76,3135;303,336;187,735;204,703;175,874;70,9606;6837,21;801,992;1112,6235;942,6086
1315;192,661;86,2749;273,551;236,647;425,989;618,581;76,2619;300,982;190,119;205,303;176,344;72,0838;6834,76;789,1339;1120,8319;944,8318
1320;205,205;90,1;278,091;239,15;422,205;606,628;76,4953;307,003;185,346;203,935;176,211;71,0107;6839,77;812,546;1105,3283;943,5057
1325;198,328;87,8037;276,197;237,643;424,549;614,154;76,4008;303,07;188,103;204,761;175,666;70,2953;6837,94;799,9717;1115,1038;941,8953
1330;196,624;87,5023;275,365;237,633;424,968;615,438;76,4838;303,167;188,896;204,643;175,95;71,0911;6840,57;797,1243;1116,8898;943,7471
1335;199,075;87,9074;277,357;238,438;423,505;612,426;76,4442;303,169;187,6;204,704;175,876;71,0546;6842,11;802,7774;1112,3752;942,4036
1340;202,294;88,9424;277,245;238,382;424,101;611,22;76,5848;305,384;186,866;204,41;175,999;70,5174;6849,96;806,8634;1111,9058;943,1764
1345;198,106;87,6632;276,208;237,914;425,165;615,075;76,5722;303,761;188,649;204,783;176,269;71,3025;6853,48;799,8912;1116,8122;944,7645
1350;198,221;87,8424;275,892;238,539;424,189;613,319;76,4442;304,517;188,509;205,085;175,979;70,7878;6841,25;800,4944;1113,9522;944,8778
1355;195,491;86,6762;275,067;236,845;425,336;616,466;76,3306;301,388;189,127;204,636;175,875;70,9519;6836,39;794,0792;1118,1326;941,9779
1360;198,312;87,4911;276,372;238,059;423,513;612,712;76,1952;303,455;188,047;204,31;175,431;70,1799;6827,79;800,2341;1112,4202;941,4229
1365;200,492;88,4654;276,901;237,795;423,554;611,423;76,1978;303,499;187,159;204,282;175,143;69,8493;6827,68;803,6534;1111,1748;939,9323
1370;201,304;88,6466;278,356;239,519;421,778;608,858;76,3286;304,271;187,025;204,352;175,221;70,2322;6824,93;807,8256;1106,9646;941,1012
1375;197,962;88,9216;274,361;237,679;424,477;614,251;76,2985;302,244;188,579;204,644;175,348;70,6622;6822,91;798,9236;1115,0265;941,4772
1380;195,146;88,1576;272,869;236,1;425,285;616,715;76,1823;301,076;189,487;204,769;175,303;71,2438;6815,81;792,2726;1118,1823;941,8788
1385;206,738;91,4363;277,352;237,856;422,63;605,981;76,4151;308,306;185,289;203,373;175,683;70,6366;6827,77;813,3823;1105,0261;943,2876
1390;197,83;88,4393;275,66;237,656;423,108;612,618;76,1048;302,135;188,094;204,22;174,629;69,9794;6809,94;799,5853;1111,8308;939,0574
1395;191,115;87,5322;270,567;236,142;426,01;619,557;76,1772;299,754;191,122;205,102;175,562;72,2083;6805,01;785,3562;1121,7442;943,7483
1400;198,51;89,0627;274,617;236,222;423,958;612,968;76,2536;302,698;187,895;203,733;175,037;70,5052;6809,59;798,4117;1113,1796;939,8682
1405;198,578;89,076;275,386;236,523;423,686;613,198;76,215;302,004;188,213;204,196;175,011;70,2376;6811,95;799,563;1113,099;939,6616
1410;191,395;87,5688;271,132;234,802;426,568;619,973;76,2658;299,428;190,909;204,432;175,472;71,4102;6806,56;784,8978;1122,8068;941,6512
1415;202,706;89,8586;278,597;238,886;420,758;606,922;76,2458;304,366;186,2;203,622;174,857;70,0532;6809,76;810,0476;1103,9258;939,0982
1420;200,058;88,8878;278,076;238,605;421,094;609,185;76,1162;302,437;187,165;204,262;174,679;69,7252;6805,6;805,6268;1106,3952;938,2682
1425;204,289;90,2307;278,05;237,119;423,156;608,701;76,603;306,763;186,183;203,887;176,001;70,7974;6831,66;809,6887;1108,46;943,6314
1430;196,411;89,3639;274,09;237,364;424,565;615,776;76,582;301,247;189,67;205,377;175,74;71,2045;6822,11;797,2289;1116,923;943,2385
1435;199,407;90,3535;275,935;238,088;423,16;612,183;76,6975;302,974;188,299;204,708;175,644;70,7941;6827,34;803,7835;1112,0405;942,4191
1440;193,786;88,4877;273,08;235,983;426,159;619,219;76,8259;300,135;190,459;205,192;176,281;71,9776;6833,36;791,3367;1122,2039;944,0446
1445;198,283;89,7701;275,818;237,884;424,464;614,85;76,9504;302,866;189,314;205,22;176,616;71,5506;6844,84;801,7551;1116,2644;945,5666
1450;201,727;92,0556;276,307;238,563;423,042;612,063;76,8884;304,13;187,968;204,945;176,055;70,5327;6849,84;808,6526;1111,9934;943,6307
1455;209,444;94,7848;278,766;240,794;420,394;604,176;77,314;308,668;185,462;204,477;176,89;71,3302;6860,97;823,7888;1101,884;946,8272
1460;200,812;92,2352;276,314;238,9;422,835;613,395;77,2304;302,18;188,485;205,496;176,724;71,5751;6860,13;808,2612;1113,4604;944,4601
1465;202,588;93,1232;276,183;239,656;423,093;612,532;77,3949;304,607;188,629;205,789;177,072;71,2357;6870,33;811,5502;1113,0199;947,3327
1470;201,036;92,2558;276,765;239,333;422,94;614,061;77,2557;302,169;188,646;205,591;177,16;71,4922;6872,97;809,3898;1114,2567;945,0582
1475;197,499;91,0457;274,832;238,458;424,028;616,948;77,3443;301,874;190,181;205,809;177,312;72,2217;6869,65;801,8347;1118,3203;947,3977
1480;201,374;93,0616;275,44;238,79;423,379;613,779;77,4043;302,971;188,86;205,345;177,073;71,5422;6869,74;808,6656;1114,5623;945,7912
1485;203,712;92,945;277,558;239,574;422,349;611,061;77,3577;304,861;188,015;205,37;176,509;70,9718;6870,48;813,789;1110,7677;945,7268
1490;207,727;94,6377;278,062;239,894;421,119;606,46;77,3139;307,19;186,239;204,455;176,616;70,9023;6865,49;820,3207;1104,8929;945,4023
1495;207,631;94,5449;277,763;239,335;421,602;607,337;77,3475;307,372;186,511;204,456;176,683;71,197;6866,93;819,2739;1106,2865;946,219
1500;208,329;95,4918;277,05;239,719;421,107;606,164;77,3943;307,897;186,318;204,302;176,767;71,4661;6860,69;820,5898;1104,6653;946,7501
1505;211,338;95,6746;280,843;241,551;418,785;601,709;77,2642;307,938;184,577;203,801;176,633;71,4911;6863,53;829,4066;1097,7582;944,4401
1510;197,925;92,5983;274,008;237,819;423,967;616,635;77,2028;299,685;189,82;205,206;176,148;71,3992;6850,59;802,3503;1117,8048;942,2582
1515;201,966;93,5905;275,763;239,159;421,805;611,408;77,103;302,912;188,586;204,722;176,001;70,9673;6845,31;810,4785;1110,316;943,1883
1520;198,988;91,845;274,934;238,092;422,082;614,163;76,8647;299,521;188,933;204,619;175,525;70,8594;6833,66;803,859;1113,1097;939,4574
1525;210,618;96,2725;277,162;238,874;420,909;604,489;77,2302;309,329;185,249;203,164;176,181;71,2632;6848,41;822,9265;1102,6282;945,1862
1530;193,602;91,3127;269,74;235,762;426,21;621,964;76,8856;298,919;191,49;205,05;175,648;71,2168;6830,23;790,4167;1125,0596;942,3238
1535;201,771;93,7581;273,207;237,321;423,358;614,423;76,9672;302,601;188,212;203,89;175,085;70,4399;6830,38;806,0571;1114,7482;940,2279
1540;198,959;93,5659;271,926;237,005;423,707;615,678;76,8386;301,314;189,18;204,316;174,921;70,3849;6820,4;801,4559;1116,2236;940,1159
1545;206,98;96,0957;274,569;238,868;422,016;609,572;77,0625;306,758;186,968;203,679;175,37;70,2166;6834,83;816,5127;1108,6505;942,9916
1550;197,648;93,4503;271,679;237,464;424,139;618,119;76,9805;300,107;190,029;204,835;175,097;70,9656;6826,64;800,2413;1119,2385;941,0336
1555;200,641;94,8282;273,474;237,714;423,3;615,004;77,1133;301,579;189,46;204,831;174,861;70,1769;6833,3;806,6572;1115,4173;940,9079
1560;202,766;95,5032;275,307;238,677;421,385;611,015;76,9403;301,731;187,946;204,063;175,006;70,0908;6827,06;812,2532;1109,3403;938,8368
1565;201,473;95,5434;273,62;238,77;422,636;614,3;77,2656;301,168;189,218;204,813;175,381;70,5073;6837,02;809,4064;1114,2016;941,0873
1570;201,267;95,1424;273,964;238,118;422,852;614,757;77,2056;301,898;189,264;204,835;175,518;70,4;6841,13;808,4914;1114,8146;941,915
1575;206,334;95,5306;277,887;239,518;420,573;609,201;77,3423;303,634;187,135;204,285;175,537;69,94;6847,48;819,2696;1107,1163;940,531
1580;201,373;94,897;274,762;239,049;421,646;614,105;77,4048;299,889;189,25;204,899;175,827;71,0756;6843,87;810,081;1113,1558;940,9406
1585;200,106;95,0594;273,251;237,883;423,882;617,679;77,4881;299,55;190,392;205,149;176,051;70,9095;6854,03;806,2994;1119,0491;942,0515
1590;201,109;94,7405;274,109;237,845;422,951;616,095;77,4775;300,184;189,919;204,704;175,979;70,9335;6852,75;807,8035;1116,5235;941,7195
1595;212,157;98,3401;277,691;239,657;419,625;604,47;77,6172;307,561;185,716;203,32;176,176;70,6956;6855,81;827,8451;1101,7122;943,4686
1600;201,356;95,8827;272,661;238,129;422,692;614,796;77,302;301,741;189,933;204,736;175,638;70,4878;6840,84;808,0287;1114,79;942,5358
1605;204,124;97,2051;274,272;239,671;420,896;612,028;77,4507;301,839;188,974;204,937;175,238;70,1183;6841,48;815,2721;1110,3747;941,1063
1610;203,151;96,3801;274,403;238,627;421,564;612,977;77,3213;301,186;189,074;204,212;174,918;69,7451;6838,19;812,5611;1111,8623;939,1351
1615;203,988;97,4463;272,633;238,054;422,459;613,953;77,4517;302,921;189,372;204,223;175,426;70,0929;6842,4;812,1213;1113,8637;942,0349
1620;204,749;97,4753;274,195;238,806;421,214;612,553;77,5549;302,346;189,056;204,075;175,104;70,4765;6847,54;815,2253;1111,3219;941,0575
1625;215,777;100,256;279,901;241,966;418,248;602,977;77,8726;307,981;185,488;202,976;176,855;72,0504;6884,16;837,9;1099,0976;945,3504
1630;216,713;101,499;279,316;242,472;418,179;602,408;77,9625;308,915;185,358;202,827;177,067;71,921;6891,53;840;1098,5495;946,088
1635;203,473;98,8175;273,32;240,832;421,835;616,306;77,6257;299,432;190,969;204,58;175,895;71,1737;6878,74;816,4425;1115,7667;942,0497
1640;205,449;99,0633;274,391;241,898;420,281;613,529;77,7303;302,351;190,453;204,522;176,178;71,6778;6886,78;820,8013;1111,5403;945,1818
1645;203,698;99,5913;273,7;242,798;421,315;617,147;77,9338;299,596;191,875;204,948;176,164;71,4631;6901,82;819,7873;1116,3958;944,0461
1650;207,44;100,77;274,68;242,475;420,712;614,651;78,0376;301,538;190,884;204,177;176,455;71,172;6913,63;825,365;1113,4006;944,226
1655;204,242;100,501;274,071;243,647;420,692;616,979;77,9119;298,327;192,695;204,543;176,973;72,8019;6920,68;822,461;1115,5829;945,3399
1660;213,204;102,563;277,448;244,418;418,324;609,734;78,0103;304,252;189,624;203,448;176,717;71,5409;6936,8;837,633;1106,0683;945,5819
1665;220,09;104,697;281,069;246,242;416,769;604,426;78,3915;308,009;188,029;203,009;177,866;72,0956;6965,07;852,098;1099,5865;949,0086
1670;210,513;102,665;277,608;244,79;418,824;612,857;78,1606;301,264;191,83;203,858;177,121;72,2355;6955,61;835,576;1109,8416;946,3085
1675;217,104;104,709;280,128;246,464;415,505;606,192;78,0056;304,219;189,585;203,048;176,354;71,0706;6949,56;848,405;1099,7026;944,2766
1680;213,397;104,669;276,944;246,385;415,828;610,113;77,8932;302,389;192,133;203,407;176,075;71,5288;6942,45;841,395;1103,8342;945,5328
1685;213,654;103,813;278,498;246,062;415,315;609,512;77,7908;301,58;192,598;202,999;176,065;71,4296;6942,47;842,027;1102,6178;944,6716
1690;214,97;104,861;278,598;246,397;414,617;608,86;77,7435;300,755;193,008;202,57;175,742;70,953;6941,29;844,826;1101,2205;943,028
1695;214,523;105,171;279,458;247,43;413,374;608,246;77,763;298,791;193,73;202,189;175,796;71,9828;6939,45;846,582;1099,383;942,4888
1700;217,443;105,644;280,428;246,801;412,815;607,023;77,7486;299,128;193,531;201,369;175,179;70,6751;6943,64;850,316;1097,5866;939,8821
1705;217,765;106,081;279,759;247,498;413,018;608,826;77,6324;300,236;195,153;201,651;175,284;71,2923;6955,7;851,103;1099,4764;943,6163
1710;229,753;109,239;284,235;247,943;410,289;599,142;77,9179;305,408;191,372;199,439;175,812;71,5194;6974,78;871,17;1087,3489;943,5504
1715;222,376;107,369;281,72;248,886;410,064;606,357;77,5168;298,196;194,949;200,472;174,353;70,5568;6961,58;860,351;1093,9378;938,5268
1720;225,667;109,882;281,804;250,507;409,181;603,897;77,6438;300,395;195,178;200,328;174,722;70,6452;6970,26;867,86;1090,7218;941,2682
1725;223,24;108,13;283,974;250,141;410,078;605,649;77,6755;299,102;196,863;200,313;175,329;71,8163;6985,6;865,485;1093,4025;943,4233
1730;230,17;111,457;286,273;253,23;407,324;599,765;77,7758;302,048;195,26;200,19;175,278;71,2961;6999,4;881,13;1084,8648;944,0721
1735;232,11;111,479;286,694;253,21;406,454;598,242;77,7356;302,981;195,236;199,109;175,353;71,3768;7007,44;883,493;1082,4316;944,0558
1740;226,374;110,543;283,472;253,071;407,647;605,086;77,5683;298,319;198,381;199,992;175,248;71,8045;7008,57;873,46;1090,3013;943,7445
1745;233,777;113,694;285,123;253,801;406,368;598,896;77,4979;303,02;196,714;198,718;175,104;71,3386;7017,24;886,395;1082,7619;944,8946
