0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,produkt,produkt,produkt,produkt,produkt,produkt,produkt,produkt,produkt,silan,silan,silan,penten,penten,penten,penten,produkt suma,silan suma,penten suma,cale widmo
,Y ,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,,,,
czas (s),"Integral(0.636757,0.572970)","Integral(0.889757,0.814595)","Integral(0.982024,0.932107)","Integral(1.046604,0.985144)","Integral(1.263743,1.196043)","Integral(1.345170,1.269046)","Integral(1.458730,1.384479)","Integral(1.549517,1.479633)","Integral(1.635311,1.553885)","Integral(0.708841,0.638108)","Integral(1.108528,1.048454)","Integral(3.920281,3.598789)","Integral(1.012637,0.971353)","Integral(1.685043,1.598012)","Integral(2.106522,1.964386)","Integral(5.596931,5.302060)",,,,"Integral(7.350003,0.326339)"
140,294.385,-0.953325,88.4878,1242.4,10.6369,8.59753,3.71324,3.40075,5.62877,684.919,604.568,152.094,428.748,431.582,277.861,242.717,1656.296665,1441.581,1380.908,5973.84
145,291.465,-0.513594,86.3567,1240.68,9.86366,8.69725,4.13237,4.0365,4.75089,687.613,607.33,152.015,423.101,430.526,277.623,242.303,1649.468776,1446.958,1373.553,5973.38
150,295.086,-0.807891,89.2684,1246.45,11.083,8.81328,3.74245,3.98588,5.66436,683.597,601.62,152.008,426.566,430.312,276.995,241.831,1663.285479,1437.225,1375.704,5973.21
155,293.314,-0.945944,87.7903,1245.38,11.2036,8.64009,4.39237,4.09048,5.37702,684.618,605.625,151.696,423.743,429.797,276.601,241.524,1659.241916,1441.939,1371.665,5969.79
160,295.353,-0.584365,88.6747,1247.58,11.6209,8.95268,4.038,4.47074,5.44921,682.004,604.516,151.479,424.367,429.135,275.943,241.03,1665.554865,1437.999,1370.475,5962.88
165,295.9,-0.485158,88.4812,1245.2,11.3335,9.27431,4.24705,4.1103,5.63624,682.046,601.494,151.424,422.922,427.982,275.706,240.598,1663.697442,1434.964,1367.208,5964.28
170,295.153,-0.235649,88.0132,1244.1,11.4515,8.77873,4.61933,4.33797,5.38334,682.651,604.953,151.355,424.13,428.52,275.457,240.338,1661.601421,1438.959,1368.445,5966.4
175,293.505,-0.581335,87.3486,1242.15,12.2717,9.50646,4.74488,4.67809,5.49991,683.673,608.625,151.043,421.441,427.29,274.936,239.838,1659.123305,1443.341,1363.505,5960.91
180,298.253,0.188174,88.8728,1246.08,11.5655,9.52293,4.37568,4.6242,5.89773,679.724,599.61,151.025,424.342,427.025,274.485,239.475,1669.380014,1430.359,1365.327,5960.62
185,295.801,0.767988,88.4958,1243.34,11.0445,9.8567,4.51741,4.65431,5.83506,682.398,604.423,151.077,423.472,426.771,273.909,239.147,1664.312768,1437.898,1363.299,5959.49
190,296.658,-0.0534964,89.293,1245.56,12.1676,9.71137,4.94848,4.80109,6.17822,680.377,606.111,150.842,424.031,425.647,273.485,238.608,1669.264264,1437.33,1361.771,5955.67
195,296.301,0.210406,87.1271,1240.14,12.2647,9.98383,4.6034,5.12548,5.6366,681.471,602.286,150.772,420.271,425.092,273.114,237.958,1661.392516,1434.529,1356.435,5952.45
200,295.222,-0.176077,87.4814,1237.63,12.7061,9.71219,5.10497,5.1037,5.98673,681.428,605.531,150.376,420.049,424.129,272.549,237.578,1658.771013,1437.335,1354.305,5945.24
205,300.806,0.359767,89.9504,1248.35,12.0517,9.4677,4.61757,5.38784,6.38555,676.382,596.451,150.375,424.014,423.892,271.94,237.401,1677.376527,1423.208,1357.247,5944.77
210,299.725,0.923517,89.8381,1248.32,11.9651,9.70702,4.45707,5.00843,6.28613,676.84,600.083,150.234,421.923,423.033,271.307,237.092,1676.230367,1427.157,1353.355,5940.89
215,299.223,1.07947,92.2129,1248.32,12.8223,9.94771,4.79355,5.75412,6.83192,676.562,601.037,150.039,422.416,422.804,270.83,236.679,1680.98497,1427.638,1352.729,5938.27
220,298.685,1.06019,91.5813,1239.57,12.7351,9.3142,4.56165,5.63435,7.1184,679.205,602.069,149.864,423.111,422.276,270.396,236.518,1670.26019,1431.138,1352.301,5939.88
225,301.998,1.25589,91.6734,1246.61,12.1395,10.02,4.91021,5.54881,6.95709,676.712,596.952,150.026,423.926,422.72,270.877,236.606,1681.1129,1423.69,1354.129,5948.46
230,304.439,1.45943,92.1014,1251.14,12.1194,10.1379,4.76646,5.45714,7.27965,674.059,596.083,149.937,425.48,422.767,270.607,236.395,1688.90038,1420.079,1355.249,5947.36
235,303.783,1.43572,93.9532,1249.38,12.4452,10.4145,4.97195,5.74086,7.56447,673.828,595.457,149.629,424.093,421.926,270.112,236.082,1689.6889,1418.914,1352.213,5943.49
240,303.673,2.05779,91.2163,1247.07,11.902,10.5579,5.06164,5.70763,7.04659,675.703,597.997,149.723,423.751,422.139,270.364,236.341,1684.29285,1423.423,1352.595,5952.85
245,301.912,1.78015,90.973,1245.84,12.3309,10.198,5.06616,6.03015,7.1415,677.899,602.547,149.671,423.831,422.305,270.224,236.029,1681.27186,1430.117,1352.389,5954.76
250,302.82,1.98404,91.3324,1245.13,12.3284,10.6,5.10457,6.10204,7.05125,677.016,598.983,149.565,422.368,421.862,270.389,236.108,1682.4527,1425.564,1350.727,5954.43
