#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"I-1","Integral(5.60000000,5.30000000)","","","","Integral(3.95000000,3.60000000)","","Integral(0.90286037,0.76790933)","",
26,25.00000000,268.95346663,0.00000000,0.00000000,0.00000000,181.69768953,0.00000000,7.77223516,0.00000000,
27,26.00000000,269.75325623,0.00000000,0.00000000,0.00000000,182.81647141,0.00000000,7.67886464,0.00000000,
28,27.00000000,268.95983102,0.00000000,0.00000000,0.00000000,181.94053128,0.00000000,8.15851939,0.00000000,
29,28.00000000,267.45508436,0.00000000,0.00000000,0.00000000,180.86045142,0.00000000,7.57511263,0.00000000,
30,29.00000000,267.08880062,0.00000000,0.00000000,0.00000000,180.98582547,0.00000000,7.53998869,0.00000000,
31,30.00000000,266.01566016,0.00000000,0.00000000,0.00000000,180.76956034,0.00000000,8.03597690,0.00000000,
32,31.00000000,266.70472665,0.00000000,0.00000000,0.00000000,180.20321637,0.00000000,7.24140399,0.00000000,
33,32.00000000,266.39821029,0.00000000,0.00000000,0.00000000,180.52012891,0.00000000,6.95568707,0.00000000,
34,33.00000000,266.63360221,0.00000000,0.00000000,0.00000000,181.26696139,0.00000000,7.82770452,0.00000000,
35,34.00000000,264.95166364,0.00000000,0.00000000,0.00000000,179.41209672,0.00000000,7.80089303,0.00000000,
36,35.00000000,264.18251333,0.00000000,0.00000000,0.00000000,179.62906486,0.00000000,7.96175164,0.00000000,
37,36.00000000,264.32262629,0.00000000,0.00000000,0.00000000,179.81304318,0.00000000,8.21704873,0.00000000,
38,37.00000000,265.57137645,0.00000000,0.00000000,0.00000000,181.07689018,0.00000000,8.25219846,0.00000000,
39,38.00000000,264.01822201,0.00000000,0.00000000,0.00000000,180.15008270,0.00000000,8.24212297,0.00000000,
40,39.00000000,262.73267547,0.00000000,0.00000000,0.00000000,179.08475352,0.00000000,7.92109139,0.00000000,
41,40.00000000,263.57898847,0.00000000,0.00000000,0.00000000,179.43007280,0.00000000,7.84375091,0.00000000,
42,41.00000000,264.13635020,0.00000000,0.00000000,0.00000000,180.56086111,0.00000000,9.03509467,0.00000000,
43,42.00000000,263.02614167,0.00000000,0.00000000,0.00000000,180.12326910,0.00000000,9.37752097,0.00000000,
44,43.00000000,262.13640085,0.00000000,0.00000000,0.00000000,178.27805157,0.00000000,7.71497429,0.00000000,
45,44.00000000,262.46434793,0.00000000,0.00000000,0.00000000,179.37422511,0.00000000,9.65217976,0.00000000,
46,45.00000000,262.35187748,0.00000000,0.00000000,0.00000000,179.25149250,0.00000000,9.47936925,0.00000000,
47,46.00000000,262.06269673,0.00000000,0.00000000,0.00000000,178.91152821,0.00000000,9.82676128,0.00000000,
48,47.00000000,262.48368669,0.00000000,0.00000000,0.00000000,180.04776989,0.00000000,10.11939293,0.00000000,
49,48.00000000,261.99955286,0.00000000,0.00000000,0.00000000,178.78397892,0.00000000,9.92702878,0.00000000,
50,49.00000000,261.53318230,0.00000000,0.00000000,0.00000000,178.77066174,0.00000000,10.22243056,0.00000000,
51,50.00000000,262.74208667,0.00000000,0.00000000,0.00000000,179.08501787,0.00000000,9.58968972,0.00000000,
52,51.00000000,261.13726960,0.00000000,0.00000000,0.00000000,178.60492657,0.00000000,11.11344614,0.00000000,
53,52.00000000,262.08454222,0.00000000,0.00000000,0.00000000,178.83975327,0.00000000,10.56536419,0.00000000,
54,53.00000000,261.15708223,0.00000000,0.00000000,0.00000000,178.50250706,0.00000000,10.31391656,0.00000000,
55,54.00000000,261.53242322,0.00000000,0.00000000,0.00000000,178.07922810,0.00000000,9.18771972,0.00000000,
56,55.00000000,261.27534339,0.00000000,0.00000000,0.00000000,178.03650102,0.00000000,10.08443664,0.00000000,
57,56.00000000,260.91013177,0.00000000,0.00000000,0.00000000,177.69652772,0.00000000,11.00717371,0.00000000,
58,57.00000000,261.09603360,0.00000000,0.00000000,0.00000000,178.76887690,0.00000000,11.02090662,0.00000000,
59,58.00000000,260.73266192,0.00000000,0.00000000,0.00000000,178.00147470,0.00000000,10.70103691,0.00000000,
60,59.00000000,261.29442751,0.00000000,0.00000000,0.00000000,179.34269208,0.00000000,12.08658261,0.00000000,
61,60.00000000,259.71109983,0.00000000,0.00000000,0.00000000,177.62572023,0.00000000,11.28154168,0.00000000,
62,61.00000000,260.67305560,0.00000000,0.00000000,0.00000000,178.59264834,0.00000000,10.55010640,0.00000000,
63,62.00000000,260.81602219,0.00000000,0.00000000,0.00000000,178.02098558,0.00000000,10.29818108,0.00000000,
64,63.00000000,259.98084568,0.00000000,0.00000000,0.00000000,177.86819265,0.00000000,10.39470791,0.00000000,
65,64.00000000,260.35968735,0.00000000,0.00000000,0.00000000,177.78804970,0.00000000,10.80270702,0.00000000,
66,65.00000000,261.17603615,0.00000000,0.00000000,0.00000000,178.28272125,0.00000000,10.79937924,0.00000000,
67,66.00000000,260.80474283,0.00000000,0.00000000,0.00000000,177.81273129,0.00000000,10.45091778,0.00000000,
68,67.00000000,259.95698654,0.00000000,0.00000000,0.00000000,177.96974267,0.00000000,11.37467507,0.00000000,
