ARR_DATA(I)			Integral(5.434,5.394)				Integral(5.255,5.224)				Integral(4.671,4.619)		Integral(4.027,3.987)		
5911	0	0	123.195	0	0	0	34.5284	0	0	0	300.442	0	22.1721	0	
6001	0	0	123.144	0	0	0	34.2706	0	0	0	300.412	0	22.2364	0	
6092	0	0	122.98	0	0	0	34.707	0	0	0	302.561	0	22.6643	0	
6183	0	0	122.962	0	0	0	34.8988	0	0	0	303.222	0	22.7578	0	
6279	0	0	123.623	0	0	0	36.0876	0	0	0	315.203	0	23.403	0	
6368	0	0	123.006	0	0	0	34.9125	0	0	0	301.893	0	22.8538	0	
6457	0	0	122.934	0	0	0	35.0226	0	0	0	301.555	0	22.8468	0	
6549	0	0	122.551	0	0	0	35.0146	0	0	0	304.117	0	22.9731	0	
6640	0	0	122.568	0	0	0	34.9306	0	0	0	301.668	0	22.9429	0	
6731	0	0	122.572	0	0	0	35.3473	0	0	0	301.924	0	23.0662	0	
6819	0	0	122.581	0	0	0	34.9965	0	0	0	301.79	0	23.1576	0	
6910	0	0	122.244	0	0	0	35.0838	0	0	0	302.768	0	23.2251	0	
7001	0	0	122.262	0	0	0	35.3464	0	0	0	306.461	0	23.4646	0	
7094	0	0	121.967	0	0	0	35.2433	0	0	0	304.471	0	23.4863	0	
7183	0	0	122.085	0	0	0	35.4468	0	0	0	305.026	0	23.7132	0	
7275	0	0	121.596	0	0	0	35.1739	0	0	0	305.384	0	23.6901	0	
7365	0	0	121.628	0	0	0	35.2454	0	0	0	300.633	0	23.3831	0	
7456	0	0	121.534	0	0	0	35.4543	0	0	0	303.824	0	23.7146	0	
7548	0	0	121.392	0	0	0	35.2553	0	0	0	303.014	0	23.9056	0	
7642	0	0	121.249	0	0	0	35.5303	0	0	0	304.854	0	24.1808	0	
7734	0	0	121.182	0	0	0	35.4191	0	0	0	303.856	0	23.9309	0	
7823	0	0	121.476	0	0	0	35.6511	0	0	0	303.818	0	23.882	0	
7915	0	0	121.126	0	0	0	35.4198	0	0	0	303.902	0	24.1421	0	
8006	0	0	120.955	0	0	0	35.5767	0	0	0	306.707	0	24.4747	0	
8099	0	0	120.875	0	0	0	35.6434	0	0	0	304.324	0	24.4722	0	
8191	0	0	120.993	0	0	0	35.8824	0	0	0	308.464	0	24.7607	0	
8282	0	0	120.666	0	0	0	35.9305	0	0	0	303.816	0	24.3728	0	
8376	0	0	120.586	0	0	0	35.799	0	0	0	305.492	0	24.9284	0	
8469	0	0	120.403	0	0	0	35.9665	0	0	0	305.101	0	24.6789	0	
8561	0	0	120.265	0	0	0	35.805	0	0	0	302.992	0	24.5789	0	
8650	0	0	120.119	0	0	0	35.7091	0	0	0	302.89	0	24.8156	0	
8738	0	0	119.934	0	0	0	35.5869	0	0	0	301.225	0	24.6349	0	
8829	0	0	119.664	0	0	0	35.7299	0	0	0	303.202	0	25.0588	0	
8917	0	0	120.044	0	0	0	35.8667	0	0	0	303.54	0	24.9626	0	
9009	0	0	119.88	0	0	0	36.3526	0	0	0	309.027	0	25.3907	0	
9099	0	0	120.199	0	0	0	36.7095	0	0	0	307.279	0	25.5149	0	
9192	0	0	119.697	0	0	0	36.1087	0	0	0	306.795	0	25.4896	0	
9279	0	0	119.437	0	0	0	36.0429	0	0	0	303.942	0	25.4376	0	
9373	0	0	119.487	0	0	0	36.44	0	0	0	307.289	0	25.6595	0	
9463	0	0	119.372	0	0	0	36.2485	0	0	0	304.655	0	25.5192	0	
