czas,sacharoza,alfa-glukoza,beta-glukoza,fruktoza,cale widmo
czas (s),"Integral(5.246521,5.185803)","Integral(5.056501,5.013715)","Integral(4.465992,4.419116)","Integral(3.805767,3.776692)","Integral(6.174450,1.387072)"
480,46.0114,1.01399,0.129155,2.60755,1255.39
485,45.9511,1.01921,0.131754,2.88863,1263.5
490,44.557,1.02669,0.127512,2.765,1244.58
495,45.9151,1.07616,0.130979,2.58535,1175.16
500,45.7791,1.06836,0.134591,2.72787,1244.82
505,45.6735,1.04078,0.1369,2.80308,1292.97
510,45.6437,1.08298,0.133452,2.82502,1264.89
515,45.5895,1.09828,0.148287,2.92845,1174.37
520,45.5741,1.00407,0.144394,2.95825,1220.93
525,44.0386,1.01471,0.144375,2.88787,1082.37
530,45.4644,1.12363,0.151506,3.20278,1105.47
535,43.8479,1.12897,0.148703,3.06622,1171.75
540,45.2685,1.04649,0.155248,3.2478,1230.56
545,45.3378,1.09623,0.153703,3.13286,1187.56
550,45.1718,1.09761,0.160799,3.06588,1167.29
555,45.2191,1.11288,0.161303,3.22911,1235.36
560,43.6451,1.10445,0.163249,3.2352,1249.14
565,45.092,1.07752,0.159695,3.03185,1102.14
570,45.0704,1.16709,0.166716,3.4684,1254.79
575,44.9287,1.13745,0.17396,3.29742,1167.1
580,44.8278,1.13414,0.170126,3.15999,1164.77
585,44.8288,1.10382,0.17426,2.91652,1146.01
590,44.7901,1.1052,0.172829,3.58788,1176.1
595,43.372,1.15827,0.168893,3.43723,1263.79
600,44.7659,1.16751,0.184375,3.43575,1138.12
605,43.2154,1.16827,0.179454,3.40353,1168.07
610,40.7369,1.17129,0.19015,3.60161,1161.42
615,40.6665,1.22666,0.191904,3.27379,1155.3
620,44.531,1.17921,0.184698,3.21226,958.295
625,44.4228,1.19752,0.191773,3.59343,1181.37
630,42.7811,1.14546,0.186531,3.44691,1196.28
635,44.4373,1.19609,0.194482,3.95434,1096.35
640,44.184,1.21159,0.191355,3.59939,1219.47
645,40.6761,1.24431,0.182989,3.82044,1177.73
650,44.2101,1.21682,0.203152,3.71409,1218.1
655,44.1627,1.22275,0.204837,3.89026,1225.35
660,42.5771,1.23228,0.198577,3.42451,1102.85
665,43.9795,1.26135,0.207594,3.98387,1236.98
670,43.9544,1.2386,0.201556,3.74631,1153.79
675,43.8429,1.32176,0.205881,4.20521,1130.73
680,42.4604,1.25655,0.206175,4.06582,1039.02
685,43.8227,1.28024,0.204963,4.20623,1206.09
690,39.9273,1.20427,0.209739,3.95096,1159.96
695,43.6608,1.27553,0.222256,3.99197,1128.69
700,42.151,1.27383,0.217054,3.65104,1090.29
705,39.9246,1.23372,0.220649,3.83212,1130.98
710,41.9323,1.32819,0.217687,3.90306,1089.16
715,43.474,1.29013,0.223904,4.42841,1102.94
720,41.925,1.30641,0.227908,4.27455,1117.82
725,43.3251,1.25985,0.220407,4.01202,1114.67
730,39.575,1.30015,0.230064,4.3663,1112.78
735,43.1613,1.31992,0.233771,4.30311,1087.63
740,43.1839,1.3218,0.230804,4.58609,1177.85
745,43.2488,1.32612,0.236604,4.17826,1056.4
750,43.0481,1.35681,0.237033,3.87566,1089.74
755,42.9839,1.35503,0.240205,4.62907,1167.28
760,42.9993,1.34747,0.242604,4.37459,1118.52
765,42.9285,1.34766,0.243543,4.59652,1102.27
770,42.8882,1.42474,0.244854,4.11824,1098.06
775,39.543,1.32237,0.246509,4.45215,1120.4
780,39.4245,1.30387,0.246419,5.01613,1169.47
785,41.2912,1.38735,0.258399,4.31051,1063.58
790,42.668,1.3696,0.263405,4.92091,1055.57
795,42.6926,1.40366,0.264795,4.34509,1057.62
800,42.5299,1.38267,0.255533,4.81525,1176.63
805,39.114,1.39021,0.254853,5.30009,1070.97
810,39.1869,1.40228,0.260337,4.82,1089.34
815,42.3476,1.40754,0.262009,5.19782,1175.42
820,42.3107,1.40489,0.264379,5.69354,1034.98
825,42.3652,1.43568,0.274663,5.25876,1162.26
830,40.8521,1.43935,0.265765,5.51263,1091.38
835,42.2087,1.44087,0.27836,5.73795,1064.35
840,38.8763,1.48496,0.270911,5.41725,1098.59
845,42.0882,1.44988,0.280883,4.75896,1074.87
850,40.5829,1.38965,0.27106,5.27155,1130.82
855,42.0722,1.47411,0.276401,5.41288,1077.66
860,41.8873,1.46913,0.285927,5.57745,1128.15
865,38.3006,1.45663,0.277795,5.11184,934.479
870,41.7854,1.5162,0.279653,5.30345,1094.92
875,41.7036,1.5153,0.292937,5.12877,1145.98
880,41.7931,1.51544,0.279878,5.35113,1049.05
885,41.822,1.50917,0.276952,5.40521,965.778
890,41.5964,1.50101,0.271172,5.13517,1069.77
895,38.4284,1.45509,0.270427,5.84941,1058.36
900,38.3481,1.52697,0.276823,5.75206,1097.14
905,38.0505,1.53421,0.281696,5.39582,1123.75
910,41.3934,1.51537,0.290494,5.73016,1142.98
915,41.309,1.51969,0.288413,6.18075,1098.22
920,41.3059,1.5542,0.287725,5.2383,1054.13
925,38.1632,1.59443,0.29112,5.47808,1053.2
930,39.7681,1.59992,0.294417,6.04864,998.047
935,41.0668,1.55933,0.28135,5.77684,1101.51
940,41.0165,1.53273,0.285013,5.62971,1061.5
945,41.0666,1.57952,0.307443,6.18171,1118.45
950,39.5103,1.53742,0.281496,6.08962,1164.37
955,39.6155,1.60995,0.28805,5.52903,1009.67
960,40.842,1.57859,0.297865,5.98955,1178.13
965,37.4466,1.56864,0.303042,6.44534,1016.19
970,40.8298,1.54798,0.306336,5.65573,986.113
975,37.783,1.62391,0.321074,6.09563,1105.22
980,39.2801,1.65283,0.308006,5.54129,1062.5
985,36.2578,1.59673,0.32295,6.14568,1065.03
990,39.1217,1.54199,0.322563,7.11717,1078.2
995,37.206,1.61804,0.312189,6.01954,1084.97
1000,39.1543,1.64426,0.323779,6.38078,1051.57
1005,37.1266,1.58399,0.315573,6.62722,1031.17
1010,40.4313,1.62168,0.317551,6.53667,1143.34
1015,40.3013,1.65107,0.320096,6.58728,1077.63
1020,40.3508,1.63952,0.321301,5.86234,1077.91
1025,40.2065,1.66966,0.32077,5.86066,1124.34
1030,40.2532,1.68939,0.335319,5.55461,1093.77
1035,40.0666,1.74146,0.324994,6.02599,910.029
1040,40.0288,1.66248,0.339922,6.84879,1147.28
1045,35.8157,1.68586,0.339908,6.97616,1022.4
1050,40.0464,1.67148,0.329318,6.7002,1032.72
1055,39.9741,1.68921,0.332792,6.21145,1008.48
1060,39.84,1.71181,0.343682,5.84401,1050.27
1065,39.8495,1.77272,0.345578,6.20874,1002.85
1070,36.4294,1.74859,0.346336,6.58334,1060.84
1075,39.679,1.70941,0.329923,6.08749,999.143
1080,39.6099,1.71657,0.345333,6.90117,1143.6
1085,39.5391,1.65863,0.332515,5.86777,1020.91
1090,39.5246,1.72429,0.350709,6.36165,975.004
1095,39.4914,1.81693,0.350168,6.10689,1009.76
1100,39.4777,1.7074,0.348905,6.21276,1081.23
1105,36.2714,1.7306,0.358908,5.97293,1054.8
1110,39.3474,1.82773,0.365569,6.06487,1015.59
1115,39.3085,1.81776,0.36308,6.1812,1007.69
1120,39.1577,1.73066,0.352224,5.91763,1041.34
1125,39.1938,1.74121,0.358255,6.87692,1020.3
1130,36.3303,1.76762,0.354249,6.63777,1057.28
1135,36.0015,1.75663,0.370529,7.60626,1026.59
1140,35.929,1.79772,0.368885,6.71596,1030.56
1145,38.947,1.78304,0.368412,6.57636,947.77
1150,38.9132,1.79876,0.374849,6.45831,1091.7
1155,38.8037,1.81805,0.376691,6.22793,951.78
1160,37.4818,1.79843,0.382544,6.01738,917.85
1165,37.3785,1.80386,0.383444,6.57153,1025.32
1170,38.6238,1.8084,0.367659,6.20624,911.126
1175,37.2219,1.78443,0.371935,5.68893,831.621
1180,38.5986,1.82429,0.38296,5.93948,961.543
1185,38.4274,1.7658,0.388094,6.05804,903.229
1190,35.6352,1.8222,0.393884,6.06586,856.118
1195,38.3038,1.74716,0.389594,5.89038,1058.16
1200,38.3089,1.8422,0.390299,5.95686,882.238
1205,38.2673,1.84675,0.393944,7.20959,827.355
1210,35.4794,1.83502,0.379078,5.50243,912.908
1215,35.4524,1.86641,0.399541,6.85776,964.609
1220,38.212,1.86281,0.398166,6.61104,946.933
1225,38.135,1.86018,0.398288,6.1039,851.833
1230,38.0985,1.86657,0.399602,6.76027,867.151
1235,38.0261,1.88274,0.401035,6.011,787.814
1240,37.9623,1.86168,0.394358,6.92081,839.006
1245,35.1387,1.82045,0.390635,6.56506,957.367
1250,36.5115,1.95552,0.404913,6.78747,829.352
1255,37.8514,1.94934,0.405484,5.9434,829.2
1260,35,1.875,0.412341,6.30222,901.672
1265,37.5917,1.89914,0.410421,5.8748,943.827
1270,36.2579,1.9754,0.410146,6.59585,807.595
1275,37.5704,1.92701,0.429361,6.68129,865.544
1280,37.6544,1.90213,0.41852,6.83534,820.005
1285,37.4618,1.91583,0.432623,7.24396,934.688
1290,37.44,1.94062,0.416719,7.56371,943.886
1295,34.7513,1.94501,0.424813,6.8343,918.775
1300,37.3671,1.93766,0.421639,6.37907,827.512
1305,34.6032,1.99,0.417067,7.77213,937.699
1310,34.3495,1.94645,0.433436,6.98677,888.384
1315,35.8963,1.96218,0.428538,7.01871,827.344
1320,34.5364,1.97498,0.445465,7.28672,945.878
1325,34.2312,1.89409,0.431581,7.46003,835.187
1330,34.467,1.98659,0.443918,6.9061,1064.12
1335,37.0467,1.97157,0.432751,5.82863,775.834
1340,37.0824,1.91417,0.426582,7.16495,960.139
1345,35.5847,1.99063,0.42766,7.52177,818.051
1350,33.9795,1.99595,0.438508,7.17128,763.626
1355,35.4501,2.00729,0.439162,7.33508,726.64
1360,36.8032,1.94127,0.4426,7.01544,867.174
1365,33.8549,2.00823,0.456266,6.73676,857.095
1370,36.7062,2.0947,0.447006,7.48755,965.685
1375,36.6829,2.07945,0.443766,6.42927,950.302
1380,32.4623,2.02246,0.454912,6.8847,883.414
1385,36.5592,2.03449,0.453588,7.02763,897.089
1390,36.4883,2.12832,0.452144,7.99165,932.613
1395,33.871,2.07856,0.46403,7.23767,999.763
1400,36.3377,2.03703,0.469362,7.85283,916.627
1405,34.9931,2.04254,0.481848,7.86359,981.054
1410,36.3521,2.04362,0.451923,7.94429,910.99
1415,36.1284,2.01611,0.456909,6.85855,1032.7
1420,36.1289,2.0348,0.457665,7.93278,917.26
1425,32.0473,2.07331,0.48076,6.59201,1012.42
1430,33.297,2.08463,0.477229,8.71011,984.173
1435,36.1382,2.06768,0.46043,7.94204,1053.43
1440,33.5091,2.19286,0.485078,7.96273,1037.18
1445,35.9396,2.09204,0.484887,8.40388,830.492
1450,34.627,2.08538,0.486921,6.96279,972.943
1455,35.8438,2.01654,0.468263,8.01929,911.977
1460,34.5152,2.16306,0.481472,5.6661,960.324
1465,35.8054,2.09559,0.488975,7.6636,921.735
1470,35.8716,2.11691,0.491699,8.4458,969.29
1475,33.1389,2.11542,0.490528,6.94044,929.367
1480,35.714,2.18814,0.505836,6.78543,978.37
1485,35.6086,2.12113,0.494354,8.47775,882.915
1490,35.512,2.12503,0.509241,7.33737,1001.88
1495,35.4675,2.19102,0.481134,6.07589,908.903
1500,31.7004,2.10915,0.502323,7.5142,927.421
1505,35.3232,2.06405,0.501992,6.94934,948.554
1510,35.1853,2.15566,0.506629,6.49096,949.338
1515,35.2232,2.22687,0.504452,7.74071,1017.17
1520,35.2175,2.15222,0.486537,6.76638,949.156
1525,35.1744,2.17329,0.51916,7.19152,1005.51
1530,35.1776,2.06578,0.510022,5.90372,1018.08
1535,34.923,2.15477,0.505303,6.75094,887.015
1540,35.1105,2.18291,0.497915,7.93727,914.396
1545,35.0669,2.1889,0.492565,6.72806,937.871
1550,34.9104,2.21162,0.512997,6.7408,1006.6
1555,32.2327,2.10977,0.498159,6.43553,1028.21
1560,33.6291,2.11648,0.502283,6.71482,979.906
1565,34.7421,2.29115,0.531546,6.7506,930.508
1570,33.3626,2.18999,0.52203,6.35386,891.664
1575,34.613,2.29052,0.535291,6.0024,906.793
1580,34.6481,2.28416,0.535884,7.52456,1012.77
1585,34.5141,2.28722,0.524462,5.91406,931.748
1590,34.5796,2.31266,0.526038,7.10243,937.506
1595,34.5342,2.21792,0.530764,5.88835,960.847
1600,34.502,2.29308,0.54218,7.55834,958.603
1605,33.1103,2.31445,0.547355,7.4625,867.22
1610,34.3529,2.32475,0.544565,6.34088,965.32
1615,32.9384,2.31687,0.525717,6.07997,911.442
1620,34.3156,2.22652,0.518398,5.67928,950.704
1625,31.8629,2.25211,0.518207,7.00354,959.156
1630,34.1781,2.18878,0.538163,7.00192,979.98
1635,32.766,2.27237,0.534334,7.62771,989.346
1640,34.1242,2.18944,0.538018,7.12646,919.687
1645,34.0543,2.18987,0.542444,5.62157,900.677
1650,34.0691,2.28424,0.528471,6.06552,939.727
1655,31.4126,2.27868,0.546473,6.63623,937.046
1660,33.9332,2.2016,0.545994,6.83824,968.587
1665,33.8034,2.2633,0.566446,7.57186,961.986
1670,31.2336,2.37342,0.55226,6.978,900.544
1675,32.4192,2.28939,0.55079,6.17017,888.833
1680,31.1538,2.40166,0.534603,7.54393,910.289
1685,31.3989,2.39159,0.530302,6.92309,880.623
1690,31.2825,2.32449,0.537472,5.88527,873.054
1695,31.2553,2.3439,0.539103,7.07195,910.164
1700,28.7554,2.41297,0.540237,8.49321,960.898
1705,33.4392,2.33589,0.556222,6.8112,943.86
1710,31.0768,2.41181,0.541493,7.06794,927.442
1715,30.8135,2.41176,0.562377,7.02743,924.922
1720,28.6615,2.41688,0.537187,7.82828,924.45
1725,33.2678,2.35393,0.56273,6.96472,929.346
1730,31.9554,2.26725,0.581741,5.84862,883.477
1735,31.0656,2.44513,0.548299,5.88407,950.935
1740,31.9977,2.27935,0.586788,6.72546,844.635
1745,31.8019,2.28406,0.572285,7.10184,922.033
1750,31.8153,2.25136,0.573015,6.82138,912.814
1755,31.7398,2.28987,0.573373,6.81755,875.833
1760,30.7329,2.47369,0.574749,8.04611,912.482
1765,32.9788,2.30036,0.558961,7.84677,829.85
1770,30.4318,2.30904,0.592614,6.28837,929.781
1775,30.6687,2.49277,0.584132,6.68187,886.191
1780,31.4575,2.29632,0.581753,8.14647,907.683
1785,30.5587,2.31706,0.595034,8.19258,914.131
1790,30.4408,2.49086,0.578516,6.91627,904.215
1795,30.2262,2.33087,0.596926,8.1629,864.458
1800,32.6583,2.49686,0.568237,7.22499,941.886
1805,30.1871,2.32813,0.604066,7.78629,848.337
1810,30.1343,2.32838,0.604189,6.25755,909.342
1815,30.3465,2.35215,0.568426,6.64614,925.201
1820,32.4266,2.41678,0.595654,9.079,891.629
1825,32.2008,2.35172,0.589714,6.96392,949.165
1830,32.3136,2.45271,0.597759,7.03684,872.836
1835,30.978,2.57402,0.595042,7.21679,863.078
1840,30.8412,2.42812,0.593868,6.94488,890.772
1845,30.8906,2.54631,0.597322,8.35589,848.491
1850,30.0113,2.37787,0.616974,7.28001,829.656
1855,29.9287,2.38847,0.614016,7.66264,882.4
1860,29.7148,2.37973,0.612213,8.20999,905.808
1865,32.0108,2.60835,0.605951,6.9347,923.407
1870,31.9773,2.3971,0.620988,7.76554,873.855
1875,31.7208,2.59597,0.598259,7.65674,855.829
1880,31.8918,2.63057,0.607849,8.20719,886.841
1885,30.606,2.48734,0.607181,8.95077,883.66
1890,31.7826,2.39938,0.626569,7.72725,834.466
1895,31.7132,2.41663,0.632237,8.7524,811.067
1900,31.7243,2.42202,0.633277,8.88425,894.499
