saccharose	alpha-glucose	beta-glucose	fructose
39.7008	1.34605	0.253465	4.61839
39.6013	1.32994	0.253387	5.10396
41.2422	1.40917	0.265312	4.51782
42.4508	1.39306	0.270408	5.03327
42.4492	1.42556	0.271593	4.55774
42.3201	1.40495	0.262609	4.95304
39.305	1.41275	0.261976	5.3656
39.3613	1.42422	0.2678	4.9678
42.1114	1.43018	0.269246	5.28782
42.0974	1.42857	0.271954	5.71614
42.1053	1.45754	0.281872	5.34521
40.7857	1.46159	0.273271	5.56673
41.9824	1.46306	0.285585	5.76142
39.0529	1.50635	0.278544	5.48771
41.8602	1.47347	0.288571	4.95377
40.54	1.41552	0.278731	5.37727
41.8257	1.49548	0.284232	5.50136
41.664	1.49156	0.293727	5.64318
38.5564	1.48012	0.286058	5.26232
41.5729	1.53836	0.287297	5.4153
41.4794	1.53828	0.300825	5.28337
41.5591	1.53646	0.288492	5.46498
41.5494	1.53277	0.285652	5.52655
41.3856	1.52405	0.280218	5.2994
38.5762	1.48103	0.279799	5.89722
38.4989	1.55027	0.285901	5.8205
38.2767	1.55682	0.291388	5.52802
41.1779	1.53969	0.299103	5.82155
41.0929	1.54463	0.297354	6.19131
41.0626	1.57695	0.297187	5.4182
38.3089	1.61662	0.300448	5.61238
39.7113	1.62153	0.304349	6.093
40.8512	1.5845	0.291499	5.87441
40.7881	1.55856	0.294406	5.76162
40.8408	1.60284	0.316602	6.22395
39.4335	1.56339	0.29107	6.15404
39.5165	1.63313	0.298546	5.70452
40.6183	1.60346	0.307698	6.05732
37.6656	1.59435	0.312691	6.45706
40.579	1.57564	0.316269	5.80779
37.8993	1.6467	0.330504	6.17968
39.2036	1.67583	0.318272	5.71526
36.5752	1.6226	0.332007	6.21713
39.0691	1.57013	0.331624	7.02336
37.4233	1.64379	0.322086	6.13031
39.0585	1.66799	0.333381	6.43547
37.3408	1.61258	0.325944	6.63658
40.1589	1.64826	0.328343	6.57309
40.0518	1.67544	0.330428	6.61475
40.0778	1.66582	0.331696	6.0071
39.9478	1.69464	0.331146	6.02376
39.9586	1.71337	0.345092	5.75464
39.8333	1.76339	0.335521	6.18925
39.7761	1.68872	0.349652	6.84978
36.1092	1.71082	0.349813	6.94202
39.7612	1.69799	0.340079	6.7301
39.7099	1.71497	0.343714	6.33016
39.5838	1.73642	0.353696	6.03634
39.5849	1.79592	0.355648	6.32536
36.629	1.77299	0.356646	6.66784
39.4436	1.73607	0.34134	6.24746
39.3672	1.74303	0.355986	6.92007
39.2858	1.689	0.343875	6.06896
39.2762	1.75101	0.361506	6.47121
39.1905	1.83957	0.361531	6.27221
39.2005	1.73546	0.36012	6.3541
36.4519	1.75834	0.369746	6.16459
39.0725	1.85061	0.376339	6.24684
39.0367	1.84211	0.373835	6.34838
38.9254	1.7588	0.364059	6.16392
38.9477	1.76931	0.370208	6.91694
36.41	1.79466	0.366626	6.72826
36.1753	1.78496	0.381407	7.53879
36.0987	1.8243	0.380438	6.81136
38.6795	1.81119	0.379657	6.70372
38.6447	1.82531	0.386356	6.59756
38.5636	1.84428	0.387692	6.44255
37.3861	1.82661	0.394311	6.24815
37.2838	1.83194	0.395323	6.71063
38.3724	1.83679	0.379758	6.43262
37.1699	1.81371	0.384258	6.03402
38.3258	1.85215	0.394561	6.20896
38.1712	1.79729	0.400098	6.31164
35.7691	1.85193	0.405805	6.32557
38.068	1.7778	0.400879	6.17546
38.0742	1.87173	0.402031	6.2354
38.0111	1.87473	0.405585	7.27241
35.5781	1.86453	0.391624	5.87283
35.5637	1.89574	0.412062	6.98501
37.9329	1.89168	0.410105	6.78172
37.8514	1.89069	0.410442	6.3825
37.7996	1.89519	0.411574	6.89513
37.7602	1.911	0.413237	6.29638
37.7124	1.89122	0.407366	7.03864
35.25	1.85217	0.403935	6.7481
36.409	1.98262	0.417139	6.9517
37.567	1.976	0.418217	6.27638
35.1169	1.9054	0.425076	6.56664
37.3638	1.92827	0.422568	6.2316
36.173	2.00191	0.422492	6.81674
37.3003	1.95728	0.441588	6.88538
37.3401	1.93167	0.43096	7.00345
37.1707	1.94596	0.445089	7.3535
37.1564	1.96934	0.429977	7.60349
34.8365	1.97321	0.438501	7.02859
37.0994	1.96859	0.434972	6.67754
34.6825	2.01654	0.430856	7.80145
34.5005	1.97702	0.447149	7.16619
35.783	1.99255	0.441838	7.19005
34.6083	2.00433	0.458971	7.43092
34.3686	1.92797	0.445135	7.5669
34.534	2.01661	0.457064	7.12801
36.7808	2.00245	0.446909	6.25422
36.746	1.94763	0.44131	7.34342
35.4629	2.02105	0.44244	7.64673
34.1032	2.0252	0.452546	7.34893
35.3487	2.03709	0.453318	7.52928
36.488	1.97419	0.456494	7.24775
33.9959	2.03799	0.470215	7.02115
36.4067	2.12028	0.461456	7.63556
36.3691	2.10753	0.458337	6.78073
32.7692	2.05317	0.470081	7.14695
36.2282	2.06494	0.468065	7.27982
36.1655	2.15334	0.46723	8.07699
33.9131	2.10906	0.478502	7.44573
36.0912	2.06825	0.483981	7.95146
34.8988	2.07454	0.495166	7.95036
36.0353	2.0745	0.46643	8.02045
35.845	2.0499	0.471342	7.16251
35.8405	2.06727	0.472864	8.01883
32.3656	2.10392	0.495226	6.95232
33.4219	2.11618	0.491536	8.67872
35.7918	2.09884	0.475482	8.0517
33.5491	2.21882	0.499842	8.09561
35.6606	2.12328	0.499514	8.44037
34.4983	2.11721	0.501542	7.26997
35.5422	2.05299	0.48328	8.13496
34.3951	2.19198	0.49614	6.24529
35.473	2.12846	0.504004	7.84507
35.4989	2.14753	0.506235	8.506
33.191	2.14752	0.505088	7.26153
35.348	2.21853	0.519401	7.12741
35.2657	2.15337	0.509262	8.54545
35.1985	2.15774	0.523113	7.63168
35.1366	2.22144	0.496974	6.57658
31.9156	2.14302	0.516868	7.76304
35.0301	2.10055	0.516816	7.32103
34.9161	2.18656	0.521089	6.96392
34.9244	2.25544	0.519745	7.98142
34.9068	2.18635	0.502114	7.16876
34.8514	2.20484	0.533989	7.52592
34.828	2.10246	0.5256	6.47486
34.6304	2.18729	0.520804	7.19932
34.7666	2.21518	0.514185	8.14266
34.6812	2.22037	0.508802	7.15541
34.5941	2.2443	0.529087	7.19715
32.3207	2.14644	0.513899	6.92082
33.457	2.15313	0.518318	7.19343
34.4187	2.3203	0.5469	7.18201
33.2558	2.22488	0.538204	6.86591
34.3204	2.32065	0.550534	6.60002
34.318	2.31486	0.551542	7.85147
34.1886	2.31685	0.541016	6.54144
34.2387	2.34191	0.54291	7.49894
34.1684	2.2519	0.547223	6.51555
34.1433	2.32405	0.557682	7.88625
32.9715	2.34308	0.562874	7.8112
33.9985	2.35488	0.560689	6.86786
32.7975	2.34544	0.542261	6.68783
33.9709	2.26172	0.535354	6.3879
31.8719	2.28605	0.535445	7.47802
33.8158	2.22606	0.555032	7.44665
32.627	2.30563	0.551014	7.95045
33.7742	2.22736	0.554815	7.5708
33.7009	2.22729	0.558972	6.33795
33.6769	2.3178	0.54556	6.72034
31.479	2.31467	0.563433	7.15723
33.5606	2.24024	0.56282	7.33101
33.4507	2.29863	0.581906	7.93965
31.3093	2.40583	0.568757	7.45422
32.2835	2.32584	0.567674	6.79321
31.2276	2.43296	0.552119	7.91291
31.3839	2.42384	0.547509	7.40538
31.3082	2.35901	0.554988	6.59401
31.2693	2.3785	0.556493	7.5367
29.1709	2.44414	0.557647	8.71205
33.0898	2.37119	0.573447	7.34839
31.0986	2.44341	0.559288	7.52113
30.8838	2.44365	0.579418	7.50602
29.0346	2.4478	0.554474	8.16119
32.8931	2.38984	0.579988	7.4556
31.8149	2.30725	0.597926	6.54689
31.0184	2.47754	0.566295	6.58677
31.7897	2.31932	0.603284	7.27801
31.6689	2.32393	0.590467	7.59718
31.6414	2.29351	0.590875	7.36343
31.5691	2.32976	0.590914	7.3691
30.7171	2.50535	0.592982	8.36322
32.5885	2.3405	0.577468	8.21621
30.4885	2.34788	0.60938	6.95132
30.6416	2.52426	0.60181	7.26509
31.3199	2.33667	0.599938	8.47114
30.5355	2.35752	0.611546	8.49124
30.4478	2.52387	0.596416	7.47272
30.2634	2.37124	0.613982	8.48349
32.2958	2.52899	0.5866	7.71975
30.2205	2.37009	0.621522	8.17303
30.1893	2.37008	0.621453	6.94263
30.3133	2.39244	0.587462	7.23439
32.0915	2.4553	0.613916	9.28243
31.9162	2.39289	0.608596	7.55593
31.9763	2.48906	0.616645	7.59323
30.8352	2.60512	0.613899	7.75417
30.7144	2.46467	0.612035	7.53022
30.7468	2.57852	0.616571	8.69721
29.998	2.41912	0.635231	7.82656
29.9324	2.42963	0.632499	8.13223
29.7607	2.42187	0.630939	8.554
31.6727	2.6397	0.625337	7.5294
31.6342	2.43673	0.639937	8.20972
31.412	2.62691	0.617568	8.15303
31.5315	2.66173	0.628165	8.56406
30.4448	2.52467	0.627176	9.18798
31.4331	2.44171	0.645652	8.17
31.3601	2.45813	0.65116	9.01653
31.3642	2.4638	0.652041	9.13941
31.254	2.64391	0.634874	8.40665
31.2002	2.61831	0.633666	9.05644
31.2034	2.47754	0.635211	8.88529
30.0978	2.4736	0.650941	9.95825
28.3704	2.47381	0.655975	9.4994
31.0529	2.61857	0.630772	9.21903
29.3422	2.49595	0.656983	9.43463
29.9835	2.49778	0.660452	8.96376
31.0233	2.6798	0.669253	8.54929
30.8688	2.49634	0.661044	8.68003
28.1865	2.49535	0.662183	9.26686
29.1245	2.6217	0.653475	9.16539
30.7161	2.50704	0.66232	9.14095
30.7209	2.64617	0.672439	9.26461
30.6459	2.52188	0.672485	8.85302
30.5827	2.53824	0.657557	9.17277
28.7261	2.53492	0.67856	8.31699
30.5574	2.53865	0.679657	9.62248
28.6784	2.6372	0.655859	8.66979
30.4675	2.5518	0.679711	9.83312
28.5675	2.5427	0.657062	9.45429
28.547	2.55958	0.677393	10.1171
28.5231	2.59967	0.662365	9.59519
30.2972	2.69454	0.667578	8.60572
28.4251	2.55778	0.676668	9.76316
29.171	2.78646	0.685311	9.64653
30.1251	2.58202	0.684805	9.69763
27.5289	2.66119	0.687858	11.2684
28.2165	2.58371	0.676065	10.2048
28.2585	2.58641	0.708555	9.03054
28.3688	2.68274	0.688219	9.98064
28.3295	2.58814	0.695054	9.25621
28.1327	2.60668	0.689809	9.35402
29.8518	2.59733	0.673207	10.1051
29.8694	2.70003	0.682212	9.43407
28.0464	2.60547	0.695152	10.0517
28.0063	2.6145	0.72217	10.2979
27.9297	2.6254	0.699072	10.4619
27.9276	2.61959	0.700026	10.232
27.0794	2.62236	0.683828	9.51023
29.61	2.63982	0.72297	9.18871
28.5388	2.66801	0.705843	10.5105
27.8978	2.76031	0.704157	11.2702
28.4555	2.63722	0.709318	9.74761
29.3753	2.64938	0.735632	9.4914
27.6838	2.65869	0.729955	10.0683
29.3393	2.6542	0.737179	9.69936
27.5645	2.69587	0.714305	10.694
28.3182	2.81455	0.700956	9.08666
29.1957	2.67017	0.735636	8.88993
29.1425	2.66219	0.735203	9.89275
27.5779	2.81563	0.717274	10.3981
27.3601	2.69748	0.719525	9.53234
28.1062	2.68017	0.729698	9.84922
27.3072	2.73483	0.72024	10.1421
27.2588	2.74157	0.727874	11.1405
27.9472	2.70649	0.734598	10.9261
27.1792	2.74392	0.7282	9.55613
28.7949	2.80086	0.748748	10.2384
26.3684	2.81429	0.750914	10.1676
27.2655	2.80668	0.729139	10.9942
28.7137	2.76497	0.723992	9.34933
27.7532	2.72751	0.73523	10.2206
26.9918	2.7643	0.73095	10.9937
26.928	2.87474	0.738009	10.3274
28.5567	2.79177	0.734054	10.134
27.5598	2.82265	0.734506	9.93194
25.4016	2.75234	0.736184	10.8807
27.479	2.83135	0.760497	10.4135
27.4598	2.75494	0.766951	10.1684
27.4479	2.74475	0.769384	12.667
26.8141	2.75901	0.745849	12.2269
28.2215	2.80576	0.74173	10.9724
28.1754	2.81794	0.747912	10.3621
28.1631	2.66667	0.743143	11.121
28.1456	2.86671	0.744874	11.1605
25.1399	2.77938	0.74837	11.8256
26.4555	2.83456	0.753166	10.2697
27.1001	2.80079	0.753253	10.3823
27.9497	2.94923	0.74991	10.4232
28.0013	2.80313	0.761619	10.6769
27.0185	2.85915	0.756678	11.9939
27.9043	2.84982	0.757014	10.2728
27.7817	2.80118	0.753536	11.9123
24.8517	2.82833	0.759643	11.9211
27.7925	2.81696	0.787055	11.5903
24.7361	2.90168	0.793745	11.6744
27.683	2.82182	0.788205	11.2387
27.6759	2.82568	0.768744	10.3839
24.6372	2.74805	0.775912	11.3094
26.12	2.83825	0.795914	12.1154
27.5681	2.83651	0.769187	11.3831
27.491	2.89865	0.764148	10.7415
27.4096	2.85166	0.796997	10.9256
27.4109	2.85521	0.768912	13.1143
25.7955	2.86341	0.802204	10.5731
24.4172	2.85988	0.824606	11.1262
27.3077	2.91203	0.809858	11.0608
26.3951	2.88085	0.784947	10.4577
24.3141	2.86886	0.822675	12.0234
25.6652	2.88724	0.80616	11.3418
27.1801	2.93482	0.810851	12.1962
27.1086	2.95504	0.785551	10.7514
25.4972	2.93404	0.785487	10.9959
27.054	2.8863	0.782841	12.3159
26.0736	2.94987	0.810547	11.0473
27.0002	2.94141	0.814499	12.1592
24.0086	2.8954	0.831557	12.1372
25.3699	2.96769	0.820655	12.2927
25.2547	2.89709	0.816165	11.1635
25.3022	2.97039	0.820956	12.0947
25.3398	3.01033	0.836545	12.5295
26.7061	2.97364	0.79761	11.8906
25.329	2.92789	0.824084	11.7182
24.3218	3.03071	0.799538	11.9383
25.1167	2.9851	0.794838	12.6922
25.0871	3.03751	0.828207	11.8929
25.6617	2.85885	0.85297	11.5699
23.6839	3.00925	0.845616	12.1536
26.5502	3.01639	0.846841	12.6109
25.58	2.94502	0.811665	12.3269
23.6457	3.0217	0.836935	11.902
24.996	2.97242	0.863012	12.3908
24.8918	2.96514	0.812736	11.1152
24.7989	3.12709	0.81186	12.8374
24.1065	2.97559	0.864777	11.8337
24.0437	2.97618	0.865224	13.0567
24.0381	2.9815	0.820747	13.8806
24.6569	2.98802	0.815674	11.9851
24.648	3.15512	0.843801	12.9362
24.6365	2.90514	0.82828	11.9142
25.9954	2.9877	0.825433	11.5229
24.715	3.05099	0.868886	13.5833
24.651	3.0542	0.850258	11.9697
24.4661	3.08908	0.827689	11.5844
23.8277	3.06971	0.852635	12.7266
24.3799	2.91995	0.831011	12.6918
24.4168	3.00691	0.829625	12.6368
23.6504	3.0285	0.879908	13.6653
24.4209	3.07917	0.843246	12.3916
24.294	3.03003	0.835902	12.2305
24.2242	3.03877	0.861426	12.5836
24.2024	2.95489	0.839004	13.6277
24.1536	3.25294	0.84402	12.0916
24.2509	3.10284	0.870128	11.9445
23.4626	3.11623	0.888822	12.7887
24.074	3.06756	0.84331	14.0545
24.1643	3.16442	0.868614	12.3062
23.3012	3.10681	0.891094	12.6708
24.0543	2.97325	0.851445	11.7299
23.906	3.06901	0.876245	14.2105
23.8979	3.06808	0.849002	13.2867
23.2086	2.93485	0.878219	15.4381
23.2142	3.14712	0.879562	15.7559
23.7759	3.07704	0.847565	14.481
23.0937	3.05073	0.856981	14.2958
24.2922	3.16701	0.88207	13.2937
25.0507	3.09346	0.888868	13.5459
23.6707	3.10906	0.855359	13.6069
22.9818	3.05887	0.907473	14.191
23.6065	3.00029	0.866687	13.9621
23.7333	2.90319	0.863813	12.9979
21.5977	3.08233	0.910469	14.909
22.8801	3.08122	0.907042	14.1049
24.7759	3.10137	0.863166	12.5847
22.8059	3.07321	0.896506	15.0479
22.2575	3.09382	0.915545	14.5682
22.7242	3.13252	0.874649	15.5775
22.7531	3.09951	0.901505	14.599
24.6552	3.14906	0.872756	13.9552
23.8016	3.13139	0.901103	15.9729
24.6568	3.14547	0.875002	13.8967
21.3422	3.21752	0.876632	14.633
21.3113	3.1644	0.925742	14.076
21.2533	3.07454	0.889469	13.1754
21.9796	3.13424	0.927152	15.6356
21.9904	3.01888	0.926158	15.4182
21.2085	3.07103	0.915706	15.3054
21.891	3.24154	0.906531	15.4664
22.9716	3.24298	0.926688	13.6808
21.1188	3.18034	0.934471	14.4352
22.3155	3.18478	0.916915	16.3744
21.8034	3.13693	0.934413	14.6921
21.7227	3.16392	0.913969	15.3112
24.1965	3.19192	0.94357	13.3019
21.6734	3.18541	0.892262	13.9906
24.0539	3.17719	0.935705	15.1023
22.742	3.0635	0.934492	13.6391
24.0283	3.1556	0.898468	13.4848
23.2021	3.21411	0.896682	14.3453
24.007	3.17316	0.938859	14.6333
23.9806	3.13	0.931589	14.4836
