saccharose	alpha-glucose	beta-glucose	fructose
18.9562	3.39999	1.01966	18.9753
18.0927	3.41797	1.03919	17.0522
18.0774	3.48113	1.07541	15.7596
17.4171	3.51879	1.04389	17.5538
18.8996	3.52204	1.08158	16.1623
17.361	3.53405	1.04906	16.9352
17.3697	3.42635	1.05642	18.7962
17.2825	3.61598	1.05617	16.5886
17.8934	3.61882	1.05193	17.4082
18.0383	3.55995	0.878361	17.3312
17.2507	3.63019	1.04527	16.925
18.1364	3.43832	1.07753	17.1036
17.2053	3.45274	1.05302	17.2895
17.7648	3.45377	1.05825	17.2016
17.1524	3.55662	1.00924	16.7673
17.7415	3.46882	1.06966	16.4658
17.9075	3.45484	1.06525	16.4831
17.0696	3.65986	1.03948	16.0851
17.0544	3.65282	1.0549	17.756
17.0782	3.58278	1.05279	17.7425
17.6193	3.673	1.06625	15.4961
18.5271	3.47169	1.07965	18.3184
17.8456	3.66204	1.10342	17.8819
18.3059	3.47231	1.04764	17.2364
18.2741	3.45471	1.09354	17.7386
16.8463	3.72071	1.07796	18.3479
17.4961	3.61866	1.08329	16.4536
18.2829	3.49449	1.0587	16.4665
16.8066	3.63326	1.06257	16.1884
18.2162	3.49638	1.08611	17.0048
16.7495	3.58282	1.08907	17.3622
16.7697	3.60501	1.08055	18.0283
16.7067	3.61652	0.965097	17.3616
16.743	3.4815	1.07979	17.4362
17.2514	3.62238	1.06647	17.8277
16.6587	3.72572	1.06809	17.7988
16.6079	3.51859	1.05686	17.8283
17.2167	3.7288	1.0921	18.9613
18.0558	3.64204	1.08947	18.4608
16.5976	3.50874	1.1369	17.1916
18.7875	3.63423	1.10115	16.02
16.4671	3.62642	1.08589	16.3953
17.0648	3.51258	1.12076	17.9652
17.2619	3.5269	1.04777	18.3571
17.014	3.65237	1.07125	16.8647
17.2813	3.49549	1.09864	17.9577
17.1354	3.55649	1.12753	18.491
16.9338	3.6526	1.10402	17.2297
16.3366	3.53977	1.09325	17.3665
16.9038	3.66814	1.09371	18.2693
16.2853	3.67824	1.11329	18.3359
17.0669	3.54067	1.10337	17.7761
16.3077	3.43664	1.09989	18.7134
16.2221	3.56138	1.07898	17.6838
16.2346	3.65854	1.06023	19.1612
16.1136	3.69766	1.05627	16.4434
16.7069	3.56961	0.922487	18.3478
17.4741	3.69054	1.10863	17.5717
16.6934	3.49412	1.08228	18.8187
16.6793	3.66923	1.0829	17.5408
15.9801	3.44848	1.06651	17.634
15.2497	3.57461	1.07176	17.8107
16.0545	3.57716	1.11961	19.2062
15.7458	3.54165	1.12486	18.5807
15.9833	3.71008	1.01975	17.987
15.9393	3.59952	1.05072	19.4311
16.4885	3.71335	1.03474	19.0063
15.9307	3.6022	1.13532	18.7092
15.9098	3.74134	1.12171	18.4249
16.5918	3.49131	1.07096	18.867
15.7696	3.58035	1.12863	19.3694
15.0538	3.61465	1.13049	17.6725
16.5393	3.74183	1.03826	18.5769
16.328	3.75707	1.12705	18.4639
16.3649	3.74017	1.0992	16.6126
14.9776	3.52104	1.07816	16.8857
16.4475	3.74964	1.05709	18.1591
17.0925	3.63743	1.14125	17.1468
16.3821	3.63789	1.13264	18.6638
16.1852	3.77737	1.11659	17.1085
14.8766	3.39862	1.14009	16.7943
16.1493	3.58038	1.11423	19.2356
15.5487	3.64991	1.14115	17.2676
15.4539	3.65482	1.14267	18.23
16.0485	3.53234	1.11756	16.701
15.9685	3.61378	1.12798	18.3031
14.7152	3.65023	1.07424	19.5513
16.0261	3.6133	1.1514	17.4887
16.0384	3.86437	1.14167	17.3715
15.3497	3.55193	1.1546	19.2225
14.6946	3.66092	1.09611	18.7956
15.386	3.54303	1.12203	17.997
14.6408	3.66356	1.11771	18.0837
15.3472	3.53223	1.0115	19.0147
14.5881	3.69384	1.11979	18.5042
14.5665	3.63518	1.13438	18.693
15.266	3.6866	1.167	18.0835
15.1936	3.68552	1.15659	17.8823
15.7504	3.69729	1.11902	18.1825
15.8859	3.69891	1.16955	19.5771
15.7246	3.67722	1.05108	18.7203
15.1307	3.70947	1.16437	17.9389
14.3775	3.6512	1.10209	18.2019
15.1063	3.8039	1.12689	17.1234
15.6011	3.57202	1.12968	18.3809
15.0815	3.79761	1.11602	19.283
14.9962	3.67789	1.14276	19.2704
15.5721	3.59136	1.17985	18.6486
15.0367	3.79815	1.1627	17.2827
14.9845	3.77991	1.12019	18.2015
15.4017	3.71293	1.15369	18.1441
15.3497	3.84141	1.09869	18.8881
14.9276	3.82058	1.16532	18.1099
14.1629	3.7323	1.13313	19.6051
14.6434	3.59845	1.15148	18.6848
14.1446	3.8159	1.0674	19.4949
14.1218	3.61359	1.10187	18.2501
16.0261	3.47871	1.12548	18.6479
13.4394	3.74342	1.03495	19.1089
14.509	3.59768	1.13335	17.1614
14.0243	3.81774	1.16975	18.9984
14.0216	3.6988	1.09577	19.2968
15.1895	3.75619	1.16778	18.9966
14.6677	3.73698	1.13972	19.966
13.9621	3.73254	1.16841	19.1869
14.6052	3.63651	1.16604	19.0502
13.8861	3.75326	1.13585	19.6406
15.0411	3.83664	1.14913	17.1937
13.8905	3.7314	1.12454	19.8405
13.8883	3.48963	1.08367	20.0878
13.8776	3.63499	1.12312	18.2559
13.8162	3.64251	1.10095	19.5436
13.8223	3.9139	1.15248	18.9089
13.7773	3.62941	1.1651	18.8546
14.8917	3.74908	1.13422	19.2334
13.7837	3.75702	1.07842	19.8222
13.1069	3.65874	1.19141	17.8788
13.6928	3.76499	1.14775	17.9464
14.1781	3.7828	1.21544	20.0922
13.6272	3.66036	1.22257	19.8072
14.3222	3.65258	1.18339	19.9271
14.0334	3.78787	1.0712	19.9989
14.2784	3.65808	1.14224	19.8187
14.6457	3.79176	1.07874	19.4827
14.6489	3.6763	1.12174	19.1704
14.2298	3.63904	1.12982	19.9907
13.9608	3.68282	1.223	19.1824
13.9625	3.64869	1.19591	18.2365
13.4605	3.7774	1.10453	18.0114
13.8697	3.54907	1.19013	19.322
14.1235	3.67109	1.14726	20.5145
13.3816	3.67855	1.11705	19.25
13.2405	3.57275	1.15029	20.6687
14.0587	3.68266	1.18506	20.2151
13.9855	3.70118	1.17998	20.0685
13.3724	3.69075	1.08838	19.6505
12.8222	3.69806	1.23364	18.378
13.7785	3.69689	1.15852	20.1319
13.827	3.68903	1.12515	19.6235
13.8929	3.69331	1.13162	19.9395
14.2806	3.61811	1.15995	18.3202
13.7974	3.72324	1.17746	18.4693
13.1631	3.7131	1.15977	19.8971
13.2483	3.61914	1.21441	20.3605
13.5697	3.73073	1.14153	18.8376
13.7306	3.5952	1.24336	19.8889
13.6286	3.72926	1.14247	19.1091
13.5552	3.59743	1.19744	20.0603
13.1271	3.71932	1.14552	20.2151
13.086	3.73898	1.2267	20.67
13.0675	3.86424	1.11148	20.9445
13.672	3.72006	1.12387	20.0444
13.6516	3.71895	1.07266	21.7723
13.4709	3.73019	1.17526	19.6888
13.3643	3.74047	1.18132	20.726
13.0077	3.72183	1.16547	21.6773
12.9441	3.72139	1.15792	21.3181
12.8962	3.62065	1.09605	19.3444
13.3415	3.87023	1.20181	20.5583
13.3404	3.73575	1.16647	20.6371
12.8293	3.83553	1.23193	21.4259
12.8409	3.72491	1.19995	18.8144
12.8066	3.7397	1.19332	19.3261
13.378	3.62811	1.2066	20.3517
13.4175	3.74222	1.13786	20.4455
12.7496	3.776	1.20475	20.7323
12.7682	3.7673	1.092	21.2877
13.8363	3.63471	1.2545	21.5507
12.7528	3.64526	1.17539	19.5491
12.6539	3.64379	1.0869	18.6831
13.8431	3.89254	1.15963	21.9008
12.7005	3.63004	1.16441	21.4571
13.1293	3.77241	1.30626	18.6156
13.0624	3.76096	1.21318	19.9802
12.6156	3.63978	1.10576	19.6392
12.6211	3.78696	1.16984	17.5717
12.9656	3.78941	1.13089	21.3261
13.1089	3.91232	1.22673	18.9725
12.4954	3.786	1.13575	19.9054
11.9891	3.64598	1.16389	20.1607
12.8451	3.6593	1.14495	20.5081
11.9866	3.89481	1.23279	19.2971
12.4751	3.55523	1.23645	21.6039
11.9124	3.74926	1.14174	22.2596
12.4218	3.78415	1.09934	21.4725
12.3766	3.77856	1.03926	20.8708
12.3434	4.05127	1.16393	21.8601
12.8609	4.05645	1.22423	20.9676
13.3754	3.80749	1.19357	18.7509
12.8368	3.80539	1.19744	19.9113
12.2439	3.94951	1.13763	20.7238
12.8273	3.68519	1.24861	20.0849
12.2604	3.92442	1.1805	21.461
11.7107	3.77761	1.08602	18.8612
12.1987	3.57404	1.25241	19.8213
13.3243	3.68551	1.28627	20.2214
12.1122	3.70709	1.26872	19.6191
12.1324	3.94598	1.22685	19.1955
12.0828	3.81926	1.14993	20.0409
12.1099	3.81347	1.13264	20.8773
11.635	3.80055	1.17699	22.6125
12.0161	3.91341	1.15912	21.0676
12.407	3.83384	1.23812	20.299
12.1218	3.84011	1.23124	23.577
12.5203	3.82547	1.24272	21.2237
11.9425	3.83597	1.16666	21.6922
11.9662	3.69908	1.19717	20.7073
12.5328	3.83156	1.28779	20.302
11.4943	3.71703	1.22279	20.2609
12.4124	3.93543	1.3724	21.6847
11.8571	3.82447	1.1895	23.4646
11.968	3.84228	1.29393	19.2659
11.8444	3.7233	1.22891	19.5426
11.8368	3.71621	1.11364	20.702
11.8622	3.85018	1.27166	20.4457
11.8736	3.98804	1.20322	20.477
10.8587	3.74346	1.21687	20.1327
12.278	3.74294	1.17029	20.4485
11.7911	3.72161	1.23293	21.8589
11.7068	3.62742	1.21994	21.5745
11.7574	3.87787	1.21493	20.7093
11.7222	3.73358	1.1957	21.7025
12.0719	3.74312	1.28027	20.5389
11.7003	3.86821	1.24075	21.6857
11.2604	3.6237	1.31376	21.3125
11.5788	3.7393	1.15908	22.1527
11.6467	3.99981	1.15557	22.2549
11.6322	3.96108	1.1991	23.2751
11.5859	3.7506	1.17665	22.7876
11.584	3.74885	1.27481	22.7396
11.0427	3.78629	1.30251	20.0775
11.4433	3.64563	1.14529	21.1789
11.0845	3.90707	1.18731	20.7125
11.5326	3.90068	1.0849	21.8451
11.5083	3.54767	1.22204	20.2629
11.7838	3.88521	1.35163	20.6284
11.4476	3.82883	1.2011	22.3459
10.9886	3.90556	1.14361	19.8699
11.0071	4.03521	1.24759	21.5576
10.4767	3.8834	1.21079	20.2999
11.3597	3.73977	1.25038	22.8793
11.7969	3.76285	1.24762	21.4515
11.375	3.76456	1.23853	20.9698
10.4769	3.87811	1.13603	23.0274
10.8354	3.88017	1.21388	21.8181
11.3244	3.88997	1.24487	20.696
10.369	3.76903	1.24786	22.0219
11.2496	3.79086	1.16581	20.8998
11.2757	3.91393	1.25088	23.1635
11.232	3.78884	1.2246	20.0454
11.2802	3.78743	1.18418	21.1539
10.2715	3.65862	1.10898	21.113
11.1011	3.79981	1.35711	22.0206
10.7457	3.80895	1.21995	21.6782
10.7362	3.8723	1.34253	23.1792
11.1417	3.67023	1.16834	22.7157
11.1565	3.9315	1.13141	19.5382
12.0267	3.91913	1.33346	22.2216
10.6632	3.91241	1.35233	21.8508
11.0564	3.80878	1.22804	23.1956
11.3838	3.79065	1.36769	20.9078
10.5761	3.95195	1.27372	20.2434
10.5599	3.90278	1.25419	20.6381
10.9395	3.94232	1.27138	21.8162
11.3052	3.93726	1.27963	21.2439
10.9252	3.93784	1.3067	19.41
10.9762	3.81861	1.33743	20.4739
10.9108	3.81128	1.26268	22.0294
10.5673	3.80941	1.27658	20.9737
10.4237	3.80519	1.22467	20.9367
10.7867	3.95524	1.24426	21.8262
10.4392	3.60038	1.27654	21.6759
10.8198	3.81969	1.31281	21.4594
10.3938	3.69231	1.30977	20.9121
10.7915	3.82789	1.29563	19.6522
10.3428	3.95413	1.27942	19.8881
10.714	3.86805	1.2873	18.7242
10.2703	3.85675	1.31075	19.538
10.7381	3.84278	1.27136	20.1529
10.3375	3.7617	1.35595	19.6771
10.6666	3.7251	1.22194	20.1309
11.0624	3.82149	1.25137	20.7202
10.6652	3.88331	1.30114	21.2509
9.833	3.63222	1.2861	22.0346
9.61592	3.87532	1.32984	19.2185
9.89806	3.81375	1.24113	20.1738
9.37075	3.97893	1.26903	20.0628
10.3307	3.98023	1.21213	20.9685
9.92777	3.75495	1.25558	17.8754
9.85279	4.00262	1.29	18.9045
10.2703	3.98599	1.31335	21.9574
9.49574	3.70235	1.29139	24.4224
10.2134	3.87065	1.34644	20.4975
9.79821	3.99867	1.28513	19.6493
10.2701	3.86264	1.24857	20.7069
9.6672	3.7658	1.24583	20.8295
9.27298	4.03196	1.24158	19.5236
9.80491	3.76052	1.31816	20.6619
10.1574	3.98659	1.28463	22.3339
9.6746	3.88357	1.26634	19.7439
9.66731	3.7443	1.33279	20.756
9.63685	4.0155	1.29299	20.4819
9.18937	3.72135	1.20683	24.095
10.0866	4.14641	1.32303	21.3678
9.26886	3.90181	1.27683	19.6831
10.0351	4.01677	1.32297	21.3928
