ARR_DATA(I)	Integral(5.444,5.381)		Integral(5.258,5.220)		Integral(4.667,4.622)		Integral(4.013,3.980)		
8738	45.8163	0	1.0297	0	0.13294	0	2.76332	0	
8829	45.7535	0	1.0352	0	0.135571	0	3.02926	0	
8917	44.4954	0	1.04293	0	0.131847	0	2.91591	0	
9009	45.6769	0	1.09058	0	0.135316	0	2.77382	0	
9099	45.5919	0	1.08338	0	0.138688	0	2.90083	0	
9192	45.5057	0	1.05749	0	0.141139	0	2.97253	0	
9279	45.4707	0	1.09767	0	0.137997	0	2.97464	0	
9373	45.398	0	1.11169	0	0.152456	0	3.08096	0	
9463	45.3808	0	1.02361	0	0.149107	0	3.10461	0	
9563	44.0247	0	1.0351	0	0.149396	0	3.0594	0	
9653	45.276	0	1.13875	0	0.155793	0	3.32447	0	
9742	43.8518	0	1.14438	0	0.153222	0	3.22427	0	
9831	45.0957	0	1.06609	0	0.159727	0	3.38076	0	
9920	45.1446	0	1.11337	0	0.15891	0	3.27081	0	
10011	44.9822	0	1.11575	0	0.165593	0	3.22678	0	
10099	45.0091	0	1.12991	0	0.166254	0	3.36943	0	
10189	43.5924	0	1.12183	0	0.168555	0	3.37689	0	
10281	44.8854	0	1.09812	0	0.165344	0	3.21381	0	
10371	44.8615	0	1.1829	0	0.17152	0	3.58281	0	
10461	44.7295	0	1.15509	0	0.179208	0	3.44293	0	
10551	44.642	0	1.15269	0	0.175245	0	3.33027	0	
10644	44.637	0	1.12322	0	0.179376	0	3.16467	0	
10736	44.6028	0	1.12521	0	0.178348	0	3.71683	0	
10827	43.3096	0	1.17699	0	0.174275	0	3.58576	0	
10917	44.545	0	1.18559	0	0.189803	0	3.59218	0	
11007	43.1781	0	1.18617	0	0.184858	0	3.57829	0	
11095	41.0078	0	1.18982	0	0.195468	0	3.74518	0	
11188	40.9355	0	1.24316	0	0.197322	0	3.4595	0	
11277	44.3253	0	1.19851	0	0.190107	0	3.4496	0	
11365	44.248	0	1.21566	0	0.19693	0	3.76617	0	
11462	42.7592	0	1.16668	0	0.1917	0	3.64586	0	
11552	44.1828	0	1.2155	0	0.199941	0	4.06126	0	
11645	44.0015	0	1.2312	0	0.197168	0	3.77308	0	
11739	40.8569	0	1.2615	0	0.188949	0	3.95835	0	
11833	43.9915	0	1.23685	0	0.208404	0	3.87142	0	
11926	43.9471	0	1.24305	0	0.210185	0	4.03069	0	
12016	42.5612	0	1.25239	0	0.204945	0	3.64789	0	
12108	43.762	0	1.28006	0	0.213065	0	4.11294	0	
12197	43.7063	0	1.25856	0	0.208234	0	3.91546	0	
12287	43.6225	0	1.33761	0	0.212496	0	4.31984	0	
12380	42.3929	0	1.2767	0	0.212755	0	4.20363	0	
12470	43.5765	0	1.29877	0	0.21129	0	4.32335	0	
12562	40.195	0	1.2267	0	0.216216	0	4.12366	0	
12653	43.4653	0	1.29568	0	0.228813	0	4.15194	0	
12744	42.1225	0	1.29461	0	0.224004	0	3.88349	0	
