time (sec) 	Integral(3.131,2.927)	A+B*x A= 10.0498 B= 0.000526739	
91250	57.3467	58.1148	
91342	56.6316	58.1632	
91435	57.7679	58.2122	
91525	58.3357	58.2596	
91613	58.2612	58.306	
91705	57.4447	58.3545	
91794	58.0884	58.4013	
91885	51.8347	58.4493	
91978	58.2208	58.4983	
92071	37.3307	58.5472	
92162	57.4862	58.5952	
92255	59.3004	58.6442	
92348	56.2231	58.6931	
92440	57.1794	58.7416	
92532	58.4702	58.7901	
92622	55.4193	58.8375	
92721	58.259	58.8896	
92813	58.3848	58.9381	
92903	52.1126	58.9855	
92993	58.0586	59.0329	
