time (sec) 	Integral(3.131,2.927)	A+B*x A= 10.0498 B= 0.000526739	
18185	21.0202	19.6286	
18279	18.3954	19.6781	
18371	20.0634	19.7266	
18461	19.7415	19.774	
18555	19.5424	19.8235	
18647	18.7317	19.8719	
18736	19.7627	19.9188	
18826	19.8688	19.9662	
18918	19.8909	20.0147	
19009	22.0467	20.0626	
19100	23.034	20.1106	
19190	18.6971	20.158	
19279	22.4408	20.2048	
19369	19.6626	20.2522	
19459	20.5136	20.2997	
19550	23.0382	20.3476	
19643	20.7307	20.3966	
19735	21.3053	20.445	
19827	21.1674	20.4935	
19919	20.9028	20.542	
20011	21.5718	20.5904	
20102	21.7546	20.6383	
20191	22.4085	20.6852	
20283	23.0014	20.7337	
20372	21.2131	20.7806	
20461	21.7954	20.8274	
20551	21.6456	20.8749	
20640	21.322	20.9217	
20732	22.0167	20.9702	
20824	23.8502	21.0187	
20913	23.1863	21.0655	
21006	22.2897	21.1145	
21096	21.4543	21.1619	
21187	21.0794	21.2099	
21277	21.9766	21.2573	
21367	23.2387	21.3047	
21455	23.5387	21.351	
21547	24.4444	21.3995	
21619	21.9244	21.4374	
21718	22.8795	21.4896	
21810	24.3889	21.538	
21902	25.6499	21.5865	
21996	23.7003	21.636	
22088	22.237	21.6844	
22177	23.522	21.7313	
22267	22.8917	21.7787	
22357	25.2314	21.8261	
22448	21.6628	21.8741	
22538	23.762	21.9215	
22630	22.505	21.9699	
22720	20.4871	22.0173	
22810	24.039	22.0648	
22900	22.2063	22.1122	
22992	23.0119	22.1606	
23085	26.1907	22.2096	
23174	25.2568	22.2565	
23266	25.2094	22.3049	
23358	23.81	22.3534	
23448	23.9344	22.4008	
23540	23.5048	22.4493	
23632	22.1829	22.4977	
23724	24.4092	22.5462	
23813	24.327	22.5931	
23905	24.5386	22.6415	
23995	25.3333	22.6889	
24087	23.2061	22.7374	
24176	24.1508	22.7843	
24266	23.8714	22.8317	
24357	26.9657	22.8796	
24449	23.9477	22.9281	
24542	24.5842	22.9771	
24631	23.4455	23.0239	
24723	24.1049	23.0724	
24815	24.9812	23.1209	
24905	24.0278	23.1683	
24993	26.5695	23.2146	
25083	23.9579	23.262	
25172	26.484	23.3089	
25264	25.033	23.3574	
25354	25.6224	23.4048	
25443	26.4603	23.4517	
25535	21.0967	23.5001	
25627	24.1246	23.5486	
25720	23.6913	23.5976	
25809	25.23	23.6444	
25898	25.052	23.6913	
25989	24.6256	23.7393	
26080	25.5127	23.7872	
26169	27.1221	23.8341	
26261	25.259	23.8825	
26350	23.9334	23.9294	
26441	27.0596	23.9773	
26530	24.8999	24.0242	
26619	26.3814	24.0711	
26710	27.4183	24.119	
26802	25.4392	24.1675	
26893	27.8788	24.2154	
26986	25.4842	24.2644	
27077	24.9321	24.3124	
27170	25.4171	24.3613	
27260	24.5003	24.4087	
27349	25.8104	24.4556	
27441	26.6067	24.5041	
27532	25.0695	24.552	
27622	25.7999	24.5994	
27714	27.1053	24.6479	
27806	27.2831	24.6963	
27903	27.8506	24.7474	
27995	27.0461	24.7959	
28083	27.7258	24.8423	
28173	27.1694	24.8897	
28266	25.8054	24.9386	
28358	28.1078	24.9871	
28447	28.4708	25.034	
28539	28.4103	25.0824	
28631	27.6606	25.1309	
28720	26.3727	25.1778	
28815	22.2856	25.2278	
28908	26.0121	25.2768	
28999	28.8967	25.3247	
29089	27.0444	25.3722	
29181	26.5047	25.4206	
29273	27.3375	25.4691	
29370	28.1579	25.5202	
29461	28.5401	25.5681	
29549	29.0195	25.6145	
29638	27.5962	25.6613	
29732	26.8948	25.7108	
29823	29.4872	25.7588	
29915	27.4086	25.8072	
30006	34.066	25.8552	
30097	28.3762	25.9031	
30189	28.2716	25.9516	
30280	27.2462	25.9995	
30372	30.8872	26.048	
30462	27.6416	26.0954	
30554	28.8479	26.1438	
30644	29.5213	26.1912	
30736	28.0237	26.2397	
30827	28.2899	26.2876	
30917	30.1526	26.335	
31009	22.4472	26.3835	
31101	28.9131	26.4319	
31193	29.2027	26.4804	
31291	28.2874	26.532	
31383	28.584	26.5805	
31474	28.8868	26.6284	
31563	29.1124	26.6753	
31655	26.6387	26.7238	
31745	28.8005	26.7712	
31835	30.0192	26.8186	
31928	30.1284	26.8676	
32018	28.3026	26.915	
32108	29.2052	26.9624	
32198	28.1896	27.0098	
32287	29.2911	27.0567	
32378	29.9069	27.1046	
32470	30.7775	27.1531	
32562	29.6301	27.2015	
32654	22.88	27.25	
32746	23.6866	27.2984	
32839	32.0351	27.3474	
32931	31.0862	27.3959	
33020	28.6946	27.4428	
33109	30.1923	27.4896	
33197	29.9983	27.536	
33290	30.1801	27.585	
33383	29.226	27.634	
33480	27.8782	27.6851	
33572	30.1436	27.7335	
33661	30.4731	27.7804	
33753	27.3698	27.8289	
33843	25.743	27.8763	
33934	29.6519	27.9242	
34026	29.7095	27.9727	
34123	30.417	28.0238	
34214	30.4992	28.0717	
34306	29.9069	28.1201	
34396	31.1075	28.1676	
34488	30.5277	28.216	
34580	30.81	28.2645	
34669	30.0344	28.3114	
34762	27.4645	28.3603	
34855	29.7838	28.4093	
34948	30.2304	28.4583	
35041	30.3422	28.5073	
35138	32.7113	28.5584	
35226	30.972	28.6047	
35317	30.0799	28.6527	
35406	32.1701	28.6996	
35499	30.1272	28.7485	
35590	26.327	28.7965	
35682	31.3544	28.8449	
35774	24.0685	28.8934	
35863	23.9617	28.9403	
35954	31.1164	28.9882	
36046	22.7892	29.0367	
36138	33.0875	29.0851	
36227	32.1909	29.132	
36318	27.8962	29.1799	
36407	33.9222	29.2268	
36499	31.2668	29.2753	
36591	25.9339	29.3237	
36683	29.0898	29.3722	
36772	31.1179	29.4191	
36861	29.2624	29.466	
36953	30.5217	29.5144	
37042	30.0887	29.5613	
37132	29.0952	29.6087	
37224	31.5297	29.6572	
37315	28.0168	29.7051	
37406	28.6375	29.753	
37498	32.1854	29.8015	
37588	32.2646	29.8489	
37680	27.2629	29.8974	
37772	31.8015	29.9458	
37861	32.8014	29.9927	
37952	25.9652	30.0406	
38043	27.8095	30.0886	
38136	32.7229	30.1376	
38228	27.9328	30.186	
38320	34.0611	30.2345	
38410	32.6076	30.2819	
38501	25.5611	30.3298	
38590	11.6685	30.3767	
38679	31.9701	30.4236	
38768	23.4294	30.4705	
38857	30.1983	30.5173	
38949	31.1535	30.5658	
39040	27.7631	30.6137	
39129	28.1223	30.6606	
39217	9.22654	30.707	
39310	9.73556	30.756	
39403	26.5603	30.8049	
39495	26.5574	30.8534	
39585	8.02292	30.9008	
39675	28.6004	30.9482	
39763	32.3733	30.9946	
39856	28.1661	31.0436	
39948	24.4801	31.092	
40039	25.844	31.1399	
40130	33.5737	31.1879	
40221	14.7392	31.2358	
40313	29.0599	31.2843	
40404	27.9032	31.3322	
40496	14.9554	31.3807	
40586	29.4679	31.4281	
40678	34.2204	31.4765	
40773	26.5666	31.5266	
40866	29.3134	31.5756	
40958	29.5409	31.624	
41049	26.3725	31.672	
41140	34.1544	31.7199	
41232	33.3333	31.7683	
41325	33.2902	31.8173	
41415	29.4412	31.8647	
41507	14.3297	31.9132	
41598	30.2922	31.9611	
41688	32.8125	32.0085	
41777	14.4389	32.0554	
41869	19.4205	32.1039	
41960	30.0787	32.1518	
42050	31.1256	32.1992	
42143	34.5582	32.2482	
42232	15.2275	32.2951	
42324	25.0844	32.3435	
42416	30.3937	32.392	
42507	24.6625	32.4399	
42599	17.3267	32.4884	
42692	27.1655	32.5374	
42783	15.0788	32.5853	
42881	31.1599	32.6369	
42972	16.1161	32.6849	
43064	32.5683	32.7333	
43154	35.1732	32.7807	
43245	30.9097	32.8287	
43336	22.241	32.8766	
43424	35.7695	32.923	
43513	17.5354	32.9698	
43605	36.7469	33.0183	
43697	14.5986	33.0668	
43788	35.9	33.1147	
43880	34.5552	33.1632	
43973	36.9658	33.2121	
44066	35.1968	33.2611	
44155	34.8024	33.308	
44245	35.8482	33.3554	
44336	38.1468	33.4033	
44431	36.551	33.4534	
44521	29.0004	33.5008	
44613	9.84165	33.5493	
44706	27.2118	33.5982	
44797	35.9231	33.6462	
44886	39.2659	33.6931	
44978	37.6072	33.7415	
45070	35.1744	33.79	
45162	36.9181	33.8384	
45251	30.07	33.8853	
45343	35.5365	33.9338	
45434	35.908	33.9817	
45523	17.2841	34.0286	
45614	35.9485	34.0765	
45703	36.0676	34.1234	
45795	36.5661	34.1719	
45887	37.5644	34.2203	
45978	38.6847	34.2682	
46070	37.4709	34.3167	
46160	35.9533	34.3641	
46252	37.1183	34.4126	
46344	36.6511	34.461	
46435	37.4065	34.509	
46526	37.7431	34.5569	
46616	36.2054	34.6043	
46707	36.672	34.6522	
46799	38.446	34.7007	
46892	35.0454	34.7497	
46982	37.4219	34.7971	
47075	38.585	34.8461	
47164	33.6593	34.893	
47257	36.2381	34.9419	
47346	40.542	34.9888	
47435	37.7963	35.0357	
47523	32.177	35.0821	
47612	36.9528	35.1289	
47701	37.8666	35.1758	
47792	37.7624	35.2238	
47884	37.5672	35.2722	
47974	38.3227	35.3196	
48066	18.6273	35.3681	
48157	38.1477	35.416	
48246	31.123	35.4629	
48339	38.2543	35.5119	
48428	37.5761	35.5588	
48519	37.9124	35.6067	
48608	34.5811	35.6536	
48700	37.9451	35.702	
48790	39.0604	35.7494	
48880	38.6838	35.7968	
48972	38.0007	35.8453	
49061	39.5709	35.8922	
49153	37.5167	35.9406	
49244	39.277	35.9886	
49336	38.6446	36.037	
49429	38.8273	36.086	
49521	37.6842	36.1345	
49617	39.036	36.1851	
49708	40.3189	36.233	
49800	39.2294	36.2814	
49893	38.8678	36.3304	
49983	39.4457	36.3778	
50075	38.0329	36.4263	
50167	39.1618	36.4748	
50258	16.6948	36.5227	
50348	39.2927	36.5701	
50438	40.8531	36.6175	
50530	38.759	36.666	
50622	19.1711	36.7144	
50710	38.3203	36.7608	
50799	38.773	36.8077	
50888	17.6155	36.8545	
50978	38.4075	36.9019	
51069	39.0435	36.9499	
51158	39.9164	36.9968	
51246	39.6037	37.0431	
51338	39.7414	37.0916	
51429	42.5476	37.1395	
51518	40.2508	37.1864	
51608	39.2643	37.2338	
51698	19.8668	37.2812	
51790	40.2786	37.3297	
51881	38.7793	37.3776	
51954	40.6886	37.416	
52043	40.1478	37.4629	
52133	41.5401	37.5103	
52223	40.1412	37.5577	
52316	39.9618	37.6067	
52408	39.8936	37.6552	
52500	39.8143	37.7036	
52593	40.6766	37.7526	
52683	39.5154	37.8	
52774	41.729	37.848	
52862	36.0441	37.8943	
52954	39.7438	37.9428	
53046	39.8113	37.9912	
53138	40.5011	38.0397	
53231	40.9732	38.0887	
53320	40.8795	38.1356	
53412	40.3069	38.184	
53504	41.2118	38.2325	
53594	37.6834	38.2799	
53686	42.4115	38.3284	
53779	40.9539	38.3773	
53870	41.6125	38.4253	
53960	41.4718	38.4727	
54052	41.3847	38.5211	
54142	40.7959	38.5685	
54232	42.6129	38.616	
54323	42.3932	38.6639	
54412	40.485	38.7108	
54502	41.0789	38.7582	
54594	40.5347	38.8066	
54683	42.4296	38.8535	
54776	28.1977	38.9025	
54866	41.7201	38.9499	
54959	42.1382	38.9989	
55051	42.476	39.0474	
55143	36.2995	39.0958	
55235	43.1238	39.1443	
55327	40.3227	39.1927	
55418	41.6566	39.2407	
55511	41.8894	39.2897	
55600	41.2937	39.3365	
55692	17.7164	39.385	
55781	38.2939	39.4319	
55873	41.119	39.4803	
55965	42.0286	39.5288	
56057	41.7987	39.5773	
56146	42.1225	39.6241	
56237	42.1521	39.6721	
56326	42.7158	39.7189	
56416	42.5186	39.7664	
56505	41.7499	39.8132	
56598	44.0105	39.8622	
56691	42.4931	39.9112	
56783	43.0387	39.9597	
56874	42.2883	40.0076	
56967	42.0328	40.0566	
57057	42.7496	40.104	
57146	41.7199	40.1509	
57239	42.1582	40.1999	
57327	42.7382	40.2462	
57416	43.5328	40.2931	
57505	43.4743	40.34	
57597	41.837	40.3884	
57686	42.4138	40.4353	
57778	43.2849	40.4838	
57868	42.0586	40.5312	
