"saccharose: (5.185803, 5.246521)","alpha-glucose: (5.013715, 5.056501)","beta-glucose: (4.419116, 4.465992)","fructose: (3.776692, 3.805767)"
0.005269043214499754,-0.0006428113024999923,-1.3290398499999715e-05,-0.0008551269175500034
0.0052432204414997515,-0.0005872798079999932,5.826461999999965e-05,-0.0007405427009000035
0.005242999184499756,-0.0005372657654999944,0.000133267390499999,-0.0006245002497500033
0.005130388420499768,-0.0005633330579999951,6.207687749999994e-05,-0.0006178957073000035
0.005046770308999773,-0.0005554335659999951,3.093132550000039e-05,-0.000588766124950004
0.004829071607499804,-0.0006621293049999953,-0.00010625695649999793,-0.0005990967222000038
0.004897098841499762,-0.000562951280499994,-3.613975499999154e-06,-0.0005058289052500043
0.00486397316049977,-0.0005147512754999947,7.814811600000014e-05,-0.00036090726870000365
0.004748548776999789,-0.0005553249784999966,1.2062612500001287e-05,-0.000348281443050004
0.004652589364499786,-0.0005649796594999926,-2.0372261499998888e-05,-0.0003270563789000049
0.004671124747499786,-0.00047609853099999527,0.00012776296849999989,-0.00016292550070000445
0.004586048946499791,-0.0005021101579999945,6.792401700000056e-05,-0.00015318686010000433
0.004399366224499798,-0.0005889803579999936,-9.466389849999772e-05,-0.00019486345290000464
0.004446604681999801,-0.0004871216364999959,5.697547950000109e-05,-3.167463200000488e-05
0.0043229789904998175,-0.0005469201854999928,-4.2875442499998366e-05,-6.16212146000049e-05
0.004331728467499821,-0.00047232800899999394,5.434056600000092e-05,6.326493754999515e-05
0.004335610712999842,-0.0004050878339999926,0.00012406702249999978,0.00014025457354999534
0.00418784690199984,-0.00047113356099999276,2.6919935000013107e-06,0.0001311833028499953
0.0040728769079998355,-0.0004945719859999944,-3.349707599999776e-05,0.0001921026006999944
0.003945431997999878,-0.0005379986449999895,-2.677619299999899e-05,0.0002499233658499945
0.003992251934499867,-0.00045432799649999225,1.4922322000001141e-05,0.00032519958649999465
0.004000987413999874,-0.00039527232799999257,9.715516050000032e-05,0.0004048761580499946
0.0037780560119999133,-0.0005197304924999878,-9.986264249999856e-05,0.00036182861929999444
0.003814345765499911,-0.0004240062979999895,3.960029600000024e-05,0.0004917493175999944
0.00375215473449993,-0.00042218637299998817,2.979834999999999e-05,0.0005606917141999945
0.0034877020404999225,-0.000593480651499987,-0.00022721159399999695,0.00044565929654999403
0.003455306108999951,-0.0005556082794999854,-0.00018134951899999828,0.0005592098423499942
0.003511472551999971,-0.000457212012999985,-6.412698200000013e-05,0.0006429449886999944
0.003450213375500025,-0.0004586358924999815,-1.4863279000001961e-05,0.0007548055106999951
0.0031514015874999934,-0.0006361104504999813,-0.00029900573799999816,0.0006437999301999933
0.0031469349864999747,-0.0005915266864999838,-0.0002573054959999978,0.0007170542353999939
